pairKey,cityId,speciesId,disposition,evidenceGrade,previousPeak,auditedPeak,outcome,weakerOrEqualAnchor,strongerOrEqualAnchor,finding
"chicago_il/chinook_salmon","chicago_il","chinook_salmon","numeric_private","B","7","7","retained","Muskegon, Michigan 6.5","Kenosha 7.4","Montrose has direct September pedestrian creel catch and recurring current Horseshoe targeting. The measured magnitude is below Waukegan and the major Wisconsin staging ports."
"chicago_il/coho_salmon","chicago_il","coho_salmon","numeric_private","B","8.2","8.2","retained","Manistee 8.2","Manistee 8.2","Direct Montrose pedestrian estimates and repeat current reports establish an excellent spring shore fishery with a smaller fall return; Waukegan remains the stronger measured Illinois anchor."
"chicago_il/steelhead","chicago_il","steelhead","numeric_private","B","6.5","6.5","retained","Alpena, Michigan 5.8","Port Washington 6.6","Recurring exact-harbor reports and the agency cold-season shore calendar support a strong but not elite opportunity; exact seasonal effort remains missing."
"chicago_il/brown_trout","chicago_il","brown_trout","numeric_private","B","6.2","6.2","retained","Michigan City, Indiana 6","Kenosha 6.4","Montrose recorded brown trout in both April and May 2024, corroborated by current shoreline reports; observed magnitude remains below established Wisconsin brown-trout ports."
"chicago_il/lake_trout","chicago_il","lake_trout","numeric_private","B","4.8","5.4","revised","Harbor Beach 5.3","Port Sanilac 5.5","Repeated expert and specialist reporting describes an increasingly targeted, decent-to-good winter shore fishery with limit catches at Chicago structures. That qualitative magnitude places Chicago between Harbor Beach and Port Sanilac; missing standardized effort remains a Grade B limitation only."
"chicago_il/walleye","chicago_il","walleye","exclude_unscored","D","","","retained_unscored","","","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim."
"chicago_il/smallmouth_bass","chicago_il","smallmouth_bass","numeric_private","B","6","6.5","revised","Whitehall, Michigan 6.3","Muskegon, Michigan 6.6","Current Montrose Horseshoe and wall reports repeatedly describe good smallmouth fishing, and Illinois documents the growing Chicago shore fishery. The resulting strong peak sits between Whitehall and Muskegon; missing standardized effort remains a Grade B limitation only."
"chicago_il/freshwater_drum","chicago_il","freshwater_drum","numeric_private","B","5.6","5.6","retained","Whitehall, Michigan 5.6","Whitehall, Michigan 5.6","The city agency calendar and recurring Montrose reports establish intentional summer drum fishing; magnitude is placed between Ludington and Grand Haven."
"chicago_il/yellow_perch","chicago_il","yellow_perch","numeric_private","A","8.4","8.4","retained","Whitehall, Michigan 8","","Direct Montrose summer estimates and the large Navy Pier share of the measured winter fishery support an excellent two-season ceiling. The legal May 1-June 15 closure remains unavailable."
"chicago_il/lake_whitefish","chicago_il","lake_whitefish","research_hold_unscored","C","","","retained_unscored","","","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. An exact Montrose record fish is a credible occurrence, but no recurring target series was found."
