city_id,city_name,port,species_id,dashboard_species,period,catch_estimate,matched_all_species_hours,catch_per_1000_matched_all_species_hours,positive_month_year_strata,enumerated_month_year_strata,positive_years,limitation
pentwater_mi,Pentwater,PENTWATER,chinook_salmon,Chinook Salmon,full_export,397,12013,33.0475,11,23,10,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,chinook_salmon,Chinook Salmon,modern_2012_2022_excluding_2020,172,7597,22.6405,3,15,3,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,chinook_salmon,Chinook Salmon,recent_2018_2022_excluding_2020,0,2013,0,0,6,0,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,coho_salmon,Coho Salmon,full_export,281,14384,19.5356,13,24,9,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,coho_salmon,Coho Salmon,modern_2012_2022_excluding_2020,120,7161,16.7574,5,16,5,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,coho_salmon,Coho Salmon,recent_2018_2022_excluding_2020,5,2013,2.4839,1,6,1,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,steelhead,Steelhead,full_export,975,16728,58.2855,25,35,14,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,steelhead,Steelhead,modern_2012_2022_excluding_2020,155,7414,20.9064,8,18,4,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,steelhead,Steelhead,recent_2018_2022_excluding_2020,64,2013,31.7933,3,6,1,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,brown_trout,Brown Trout,full_export,452,12057,37.4886,16,26,12,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,brown_trout,Brown Trout,modern_2012_2022_excluding_2020,161,7030,22.9018,6,16,5,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,brown_trout,Brown Trout,recent_2018_2022_excluding_2020,25,2013,12.4193,1,6,1,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,lake_trout,Lean Lake Trout,full_export,2,6520,0.3067,1,14,1,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,lake_trout,Lean Lake Trout,modern_2012_2022_excluding_2020,2,6520,0.3067,1,14,1,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,lake_trout,Lean Lake Trout,recent_2018_2022_excluding_2020,0,2013,0,0,6,0,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,walleye,Walleye,full_export,68,6360,10.6918,3,15,3,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,walleye,Walleye,modern_2012_2022_excluding_2020,50,5978,8.364,2,14,2,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,walleye,Walleye,recent_2018_2022_excluding_2020,25,2013,12.4193,1,6,1,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,smallmouth_bass,Smallmouth Bass,full_export,1466,12309,119.0998,15,24,8,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,smallmouth_bass,Smallmouth Bass,modern_2012_2022_excluding_2020,1392,10363,134.324,12,21,5,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,smallmouth_bass,Smallmouth Bass,recent_2018_2022_excluding_2020,135,2013,67.0641,4,6,1,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,freshwater_drum,Drum,full_export,420,9811,42.8091,6,19,4,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,freshwater_drum,Drum,modern_2012_2022_excluding_2020,195,8793,22.1767,4,17,2,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,freshwater_drum,Drum,recent_2018_2022_excluding_2020,0,2013,0,0,6,0,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,yellow_perch,Yellow Perch,full_export,8865,14726,601.9965,10,22,7,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,yellow_perch,Yellow Perch,modern_2012_2022_excluding_2020,2028,8959,226.3645,6,18,4,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,yellow_perch,Yellow Perch,recent_2018_2022_excluding_2020,0,2013,0,0,6,0,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,lake_whitefish,Lake Whitefish,full_export,324,5779,56.0651,1,13,1,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,lake_whitefish,Lake Whitefish,modern_2012_2022_excluding_2020,324,5779,56.0651,1,13,1,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,lake_whitefish,Lake Whitefish,recent_2018_2022_excluding_2020,0,2013,0,0,6,0,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,round_whitefish,Round Whitefish,full_export,7,5988,1.169,1,14,1,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,round_whitefish,Round Whitefish,modern_2012_2022_excluding_2020,0,5779,0,0,13,0,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,round_whitefish,Round Whitefish,recent_2018_2022_excluding_2020,0,2013,0,0,6,0,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,channel_catfish,Channel Catfish,full_export,0,5779,0,0,13,0,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,channel_catfish,Channel Catfish,modern_2012_2022_excluding_2020,0,5779,0,0,13,0,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
pentwater_mi,Pentwater,PENTWATER,channel_catfish,Channel Catfish,recent_2018_2022_excluding_2020,0,2013,0,0,6,0,Ordinal recurrence/magnitude aid only; matched hours are all-species effort and port Pier/Dock can pool structures.
