pairKey,month,catchEstimate,positiveYears,catchPer1000AllSpeciesHours,recentCatchEstimate,recentPositiveYears,recentCatchPer1000AllSpeciesHours,meanIdealScore,lowestIdealScore,highestIdealScore,reviewFlag
ludington_mi/chinook_salmon,08,259,5,23.835818,71,2,19.436080,5.96,4.49,8.3,recent_recurring_catch_below_good_mean
ludington_mi/chinook_salmon,09,379,6,28.683872,0,0,0,6.99,5.38,8.15,none
ludington_mi/coho_salmon,10,136,3,15.229563,0,0,0,5.06,4.38,5.6,historical_catch_below_good_mean
ludington_mi/steelhead,04,133,5,21.212121,20,1,12.878300,5.45,4.38,6,historical_catch_below_good_mean
ludington_mi/steelhead,10,513,5,46.670306,45,1,20.361991,7.07,5.46,8.1,none
ludington_mi/brown_trout,04,430,6,68.070287,39,2,25.112685,7.1,6.56,7.6,none
ludington_mi/brown_trout,05,61,5,28.868907,5,2,6.640106,5.61,4.47,6.52,historical_catch_below_good_mean
ludington_mi/smallmouth_bass,06,161,3,47.959488,0,0,0,5.4,4.84,5.8,historical_catch_below_good_mean
ludington_mi/smallmouth_bass,07,475,8,36.198750,39,3,11.261912,5.62,5.49,5.75,recent_recurring_catch_below_good_mean
ludington_mi/smallmouth_bass,09,159,3,20.513482,123,1,49.939099,3.39,2.45,4.44,historical_catch_below_good_mean
ludington_mi/freshwater_drum,07,621,5,59.403099,40,1,11.550679,4.9,4.76,5,historical_catch_below_good_mean
ludington_mi/freshwater_drum,08,357,3,30.762602,0,0,0,4.65,4.21,4.83,historical_catch_below_good_mean
ludington_mi/yellow_perch,06,3337,5,1064.773452,1178,1,1487.373737,4.64,3.38,6.23,historical_catch_below_good_mean
ludington_mi/yellow_perch,07,20773,5,2235.578993,6006,3,1734.334392,7.1,6.34,7.6,none
ludington_mi/yellow_perch,08,1058,5,97.367937,73,2,19.983575,6.03,5,6.75,none
grand_haven_mi/chinook_salmon,05,298,5,13.851446,19,1,2.184661,3.45,3.07,3.8,historical_catch_below_good_mean
grand_haven_mi/chinook_salmon,09,519,9,12.324571,95,3,8.485173,6.97,5.83,7.8,none
grand_haven_mi/coho_salmon,04,182,5,13.469509,105,3,13.631053,5.09,3.99,6.23,recent_recurring_catch_below_good_mean
grand_haven_mi/coho_salmon,05,769,7,36.497390,535,3,61.515465,6.06,4.86,6.8,none
grand_haven_mi/coho_salmon,08,831,6,16.459683,36,1,2.770296,4.53,3.49,6.62,historical_catch_below_good_mean
grand_haven_mi/coho_salmon,09,2465,10,58.535775,500,4,44.658807,8.06,6.83,8.8,none
grand_haven_mi/coho_salmon,10,364,5,27.965581,67,2,13.642843,6.18,4.45,7.56,none
grand_haven_mi/steelhead,04,687,6,38.164546,27,2,3.505128,6.64,5.88,7.1,none
grand_haven_mi/steelhead,05,317,5,15.045088,147,2,16.902380,4.29,2.51,5.8,recent_recurring_catch_below_good_mean
grand_haven_mi/steelhead,06,7680,9,102.349508,1956,4,69.312544,7.39,4.31,8.8,none
grand_haven_mi/steelhead,07,5421,9,78.690666,675,3,32.005690,6.8,5.34,7.88,none
grand_haven_mi/steelhead,08,3313,5,70.207040,77,1,5.925356,3.62,2.04,5.24,historical_catch_below_good_mean
grand_haven_mi/steelhead,10,1019,9,72.858573,522,4,106.291998,7.23,5.26,9.2,none
grand_haven_mi/brown_trout,04,772,9,39.339584,252,4,32.714527,6.99,5.88,7.6,none
grand_haven_mi/brown_trout,05,350,7,14.808547,61,2,7.013913,6.04,4.9,6.87,none
grand_haven_mi/smallmouth_bass,08,1135,6,44.518533,1072,4,82.493267,6.27,5.39,6.6,none
grand_haven_mi/freshwater_drum,05,2014,6,107.856263,1168,4,134.299184,6.21,5.1,6.74,none
grand_haven_mi/freshwater_drum,06,7116,7,104.719438,5662,4,200.637845,6.93,6.76,7.07,none
grand_haven_mi/freshwater_drum,07,5580,8,87.773111,4278,4,202.844950,7.14,7.08,7.2,none
grand_haven_mi/freshwater_drum,08,2642,8,68.266970,2228,4,171.450558,6.95,6.75,7.07,none
grand_haven_mi/freshwater_drum,09,714,8,18.651550,498,4,44.480171,6.22,5.15,6.72,none
grand_haven_mi/freshwater_drum,10,141,3,15.369523,37,1,7.534107,3.22,1.15,5.04,historical_catch_below_good_mean
grand_haven_mi/yellow_perch,04,442,3,41.975309,394,2,51.148903,5.4,4.14,6.2,recent_recurring_catch_below_good_mean
grand_haven_mi/yellow_perch,05,1902,4,101.858298,66,1,7.588824,3.31,2.04,5.26,historical_catch_below_good_mean
grand_haven_mi/yellow_perch,06,3132,8,41.739409,271,3,9.603118,4.19,2.81,5.22,historical_catch_below_good_mean
grand_haven_mi/yellow_perch,07,8698,9,126.259254,1848,3,87.624467,6.12,5.28,6.93,none
grand_haven_mi/yellow_perch,08,18854,8,355.890292,537,2,41.323586,6.93,6.61,7.2,none
grand_haven_mi/yellow_perch,09,4458,6,116.454638,1130,2,100.928903,6.04,4.92,6.58,none
grand_haven_mi/yellow_perch,10,1957,3,150.353411,0,0,0,3,1.13,4.8,historical_catch_below_good_mean
grand_haven_mi/round_whitefish,04,257,6,21.147042,234,4,30.377775,3.33,2.88,3.8,recent_recurring_catch_below_good_mean
grand_haven_mi/channel_catfish,05,391,5,21.449339,175,3,20.121881,4.22,3.61,4.83,recent_recurring_catch_below_good_mean
grand_haven_mi/channel_catfish,07,756,7,13.731473,420,4,19.914651,6.23,5.89,6.57,none
grand_haven_mi/channel_catfish,08,1364,7,48.740397,847,4,65.178915,6.66,6.5,6.8,none
grand_haven_mi/channel_catfish,09,702,8,18.338079,385,4,34.387281,6.2,5.64,6.49,none
grand_haven_mi/channel_catfish,10,356,6,27.350953,82,3,16.697210,4.86,4.19,5.58,recent_recurring_catch_below_good_mean
grand_haven_mi/largemouth_bass,07,1556,8,28.262133,617,4,29.255571,7.16,6.99,7.33,none
grand_haven_mi/largemouth_bass,08,2437,7,87.082366,2192,4,168.680262,6.62,5.68,6.98,none
manistee_mi/chinook_salmon,06,123,5,16.437258,48,3,17.679558,4.43,2.54,6.5,recent_recurring_catch_below_good_mean
manistee_mi/chinook_salmon,08,481,7,30.888775,250,3,66.648894,7.03,5.65,9.5,none
manistee_mi/chinook_salmon,09,486,7,33.434232,92,2,20.823902,7.97,6.1,9.33,none
manistee_mi/chinook_salmon,10,534,4,46.459022,75,1,23.481528,3.47,1.15,5.93,historical_catch_below_good_mean
manistee_mi/coho_salmon,09,265,5,20.033263,163,1,36.894522,5.8,4.1,7.57,historical_catch_below_good_mean
manistee_mi/coho_salmon,10,594,8,51.679137,280,4,87.664371,7.21,5.67,8.2,none
manistee_mi/steelhead,04,379,7,25.233023,15,2,4.226543,6.17,4.92,6.8,none
manistee_mi/steelhead,06,178,7,18.742761,14,2,5.156538,3.56,2.06,4.8,historical_catch_below_good_mean
manistee_mi/steelhead,10,2120,10,159.819073,471,4,147.463995,8.07,5.82,10,none
manistee_mi/brown_trout,04,693,10,46.138482,80,4,22.541561,7.64,6.8,8.2,none
manistee_mi/brown_trout,05,313,8,23.626208,32,3,6.490872,6.29,5.01,7.22,none
manistee_mi/brown_trout,06,875,4,99.567592,0,0,0,3.56,2.28,4.91,historical_catch_below_good_mean
manistee_mi/smallmouth_bass,06,172,3,22.985434,0,0,0,4.66,4.2,5,historical_catch_below_good_mean
manistee_mi/smallmouth_bass,07,546,5,56.981841,16,1,5.992509,4.85,4.74,4.96,historical_catch_below_good_mean
manistee_mi/smallmouth_bass,08,261,3,21.306122,25,1,6.664889,4.51,3.93,4.74,historical_catch_below_good_mean
manistee_mi/freshwater_drum,06,119,4,13.541193,0,0,0,4.19,3.78,4.46,historical_catch_below_good_mean
manistee_mi/freshwater_drum,08,150,3,12.039490,0,0,0,4.38,3.97,4.55,historical_catch_below_good_mean
manistee_mi/freshwater_drum,09,135,3,11.242505,1,1,0.226347,3.04,2.17,3.91,historical_catch_below_good_mean
manistee_mi/yellow_perch,04,10329,7,876.601884,1099,3,309.664694,6.41,4.84,7.2,none
manistee_mi/yellow_perch,05,24161,8,1703.158043,10047,3,2037.931034,6.36,4.95,6.97,none
manistee_mi/yellow_perch,06,826,5,114.658523,742,3,273.296501,6.34,5.64,6.8,none
manistee_mi/yellow_perch,07,866,3,109.620253,0,0,0,5.64,4.8,6.34,historical_catch_below_good_mean
manistee_mi/round_whitefish,10,286,4,24.882547,0,0,0,3.22,2.57,3.77,historical_catch_below_good_mean
frankfort_elberta_mi/chinook_salmon,07,68,4,44.825313,53,2,76.258993,7.11,5.29,8.34,none
frankfort_elberta_mi/chinook_salmon,08,754,7,69.066593,115,2,56.566650,8.91,8.31,9.7,none
