speciesId,speciesName,rank,cityId,cityName,pairKey,auditedPeak,disposition
chinook_salmon,Chinook Salmon,1,frankfort_elberta_mi,Frankfort–Elberta,frankfort_elberta_mi/chinook_salmon,9.7,numeric_retained
chinook_salmon,Chinook Salmon,2,manistee_mi,Manistee,manistee_mi/chinook_salmon,9.5,numeric_retained
chinook_salmon,Chinook Salmon,3,sheboygan_wi,Sheboygan,sheboygan_wi/chinook_salmon,9.4,numeric_retained
chinook_salmon,Chinook Salmon,4,kewaunee_wi,Kewaunee,kewaunee_wi/chinook_salmon,9.1,numeric_retained
chinook_salmon,Chinook Salmon,5,algoma_wi,Algoma,algoma_wi/chinook_salmon,9,numeric_retained
chinook_salmon,Chinook Salmon,6,port_washington_wi,Port Washington,port_washington_wi/chinook_salmon,8.6,numeric_revised
chinook_salmon,Chinook Salmon,7,manitowoc_wi,Manitowoc,manitowoc_wi/chinook_salmon,8.5,numeric_retained
chinook_salmon,Chinook Salmon,8,two_rivers_wi,Two Rivers,two_rivers_wi/chinook_salmon,8.4,numeric_retained
chinook_salmon,Chinook Salmon,9,ludington_mi,Ludington,ludington_mi/chinook_salmon,8.3,numeric_retained
chinook_salmon,Chinook Salmon,10,racine_wi,Racine,racine_wi/chinook_salmon,8.1,numeric_revised
chinook_salmon,Chinook Salmon,11,grand_haven_mi,Grand Haven,grand_haven_mi/chinook_salmon,7.8,numeric_retained
chinook_salmon,Chinook Salmon,12,milwaukee_wi,Milwaukee,milwaukee_wi/chinook_salmon,7.8,numeric_revised
chinook_salmon,Chinook Salmon,13,waukegan_il,Waukegan,waukegan_il/chinook_salmon,7.6,numeric_retained
chinook_salmon,Chinook Salmon,14,kenosha_wi,Kenosha,kenosha_wi/chinook_salmon,7.4,numeric_revised
chinook_salmon,Chinook Salmon,15,oscoda_mi,Oscoda,oscoda_mi/chinook_salmon,5.5,numeric_retained
chinook_salmon,Chinook Salmon,16,port_sanilac_mi,Port Sanilac,port_sanilac_mi/chinook_salmon,5,numeric_retained
