cityId,cityName,stateCode,speciesId,speciesName,pairKey,peakF,peakMonths,strongMonths,shoulderMonths,offSeasonMonths,decision
ludington_mi,Ludington,MI,chinook_salmon,Chinook salmon,ludington_mi/chinook_salmon,8.3,Aug|Sep,,Apr|May|Jun|Jul|Oct,Jan|Feb|Mar|Nov|Dec,retain_no_numerical_change
ludington_mi,Ludington,MI,coho_salmon,Coho salmon,ludington_mi/coho_salmon,5.6,Oct,Sep|Nov,Mar|Apr|May|Jul|Aug,Jan|Feb|Jun|Dec,retain_no_numerical_change
ludington_mi,Ludington,MI,steelhead,Steelhead,ludington_mi/steelhead,8.1,Oct|Nov,Mar|Apr|Sep,Jan|Feb|May|Jun|Dec,Jul|Aug,retain_no_numerical_change
ludington_mi,Ludington,MI,brown_trout,Brown trout,ludington_mi/brown_trout,7.6,Mar|Apr,May,Jan|Feb|Jun|Nov|Dec,Jul|Aug|Sep|Oct,retain_no_numerical_change
grand_haven_mi,Grand Haven,MI,chinook_salmon,Chinook salmon,grand_haven_mi/chinook_salmon,7.8,Sep,Aug|Oct,Apr|May|Jun|Jul,Jan|Feb|Mar|Nov|Dec,retain_no_numerical_change
grand_haven_mi,Grand Haven,MI,coho_salmon,Coho salmon,grand_haven_mi/coho_salmon,8.8,Sep,Apr|May|Aug|Oct,Mar|Jun|Jul|Nov,Jan|Feb|Dec,retain_no_numerical_change
grand_haven_mi,Grand Haven,MI,steelhead,Steelhead,grand_haven_mi/steelhead,9.2,Jun|Oct|Nov,Mar|Apr|Jul,Jan|Feb|May|Aug|Sep|Dec,,retain_no_numerical_change
grand_haven_mi,Grand Haven,MI,brown_trout,Brown trout,grand_haven_mi/brown_trout,7.6,Apr|May,Jan|Mar,Feb|Jun|Nov|Dec,Jul|Aug|Sep|Oct,retain_no_numerical_change
manistee_mi,Manistee,MI,chinook_salmon,Chinook salmon,manistee_mi/chinook_salmon,9.5,Aug|Sep,May|Jun,Apr|Jul|Oct,Jan|Feb|Mar|Nov|Dec,retain_no_numerical_change
manistee_mi,Manistee,MI,coho_salmon,Coho salmon,manistee_mi/coho_salmon,8.2,Sep|Oct,Nov,Apr|May|Jun|Jul|Aug,Jan|Feb|Mar|Dec,retain_no_numerical_change
manistee_mi,Manistee,MI,steelhead,Steelhead,manistee_mi/steelhead,10,Oct|Nov,Apr,Jan|Feb|Mar|May|Jun|Jul|Aug|Sep|Dec,,retain_no_numerical_change
manistee_mi,Manistee,MI,brown_trout,Brown trout,manistee_mi/brown_trout,8.2,Apr|May,Mar,Jan|Feb|Jun|Nov|Dec,Jul|Aug|Sep|Oct,retain_no_numerical_change
frankfort_elberta_mi,Frankfort,MI,chinook_salmon,Chinook salmon,frankfort_elberta_mi/chinook_salmon,9.7,Aug|Sep,Jul,May|Jun|Oct,Jan|Feb|Mar|Apr|Nov|Dec,retain_no_numerical_change
frankfort_elberta_mi,Frankfort,MI,coho_salmon,Coho salmon,frankfort_elberta_mi/coho_salmon,8.6,Sep|Oct,Aug,Jul|Nov,Jan|Feb|Mar|Apr|May|Jun|Dec,retain_no_numerical_change
