priority,cityId,speciesId,baselineDisposition,evidenceGrade,currentLegacyMaximum,blockerCategories,requiredEvidence,evidenceIds,closureStatus
P0,grand_haven_mi,freshwater_drum,admit,C,7,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_3588f66|B_3614332|B_36281c5|B_3a65224|B_41a3a94|B_41b62ae|B_41c718b|B_41e9e6e|B_4280cb4,open
P0,grand_haven_mi,largemouth_bass,admit,C,6.5,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_207cdc1|B_3e9b7f3|B_3eeac7b|B_426de2b,open
P0,ludington_mi,smallmouth_bass,admit,C,4.5,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_2e736eb|B_364ea3a|B_3eeac7b|B_425abbc|B_41407c5|B_2d7cf51,open
P0,ludington_mi,yellow_perch,admit,C,6,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_323f6bf|B_35ed629|B_3614332|B_364ea3a|B_3675eed,open
P0,manistee_mi,freshwater_drum,admit,C,4.5,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_2e736eb|B_366250d|B_3a521c4|B_3a65224|B_3ebb776,open
P0,manistee_mi,lake_trout,admit,C,3,local_effort_denominator|main_pier_attribution|thermal_mode_validation|recurrence,"Reopen only with repeated current exact-covered-structure intentional targeting, species identification and catch/effort evidence.",MI_CREEL|B_3155afc|B_3548e2b|B_39595be|MI_STOCKING,open
P0,manistee_mi,smallmouth_bass,admit,C,4.5,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_366250d|B_3675eed|B_3a65224|B_3abfd6e,open
P0,manistee_mi,yellow_perch,admit,C,7,local_effort_denominator|main_pier_attribution|thermal_mode_validation|seasonal_timing,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.",MI_CREEL|B_1953bab|B_3176352|B_3588f66|B_3614332|B_36281c5|B_323f6bf|B_3de4822,open
P0,sheboygan_wi,chinook_salmon,admit,B,9.6,local_effort_denominator|seasonal_timing|recurrence,Acquire or prospectively collect Sheboygan-specific pier catch and effort by species/month and validate mode-specific magnitude.,S1|S5|W1|W2|W3|W4|W5|W6|W8|W9|W12,open
P1,kenosha_wi,brown_trout,admit,B,5.8,local_effort_denominator|seasonal_timing,Collect city-pier catch and effort across the proposed peak and shoulder modes; do not infer city CPUE from county harvest alone.,WI_ACCESS_2026|WI_EXACT_PIER_SPECIES_2023|WI_COUNTY_MODE_1998_2024|WI_SEASON_2022|WI_SEASON_2023|WI_SEASON_2024,open
