date,pairKey,cityId,speciesId,legalStatus,winningMode,fisheryStrength,seasonalAvailability,seasonalPotential,scoreThermalFit0,scoreThermalFitHalf,scoreThermalFit1
"2027-01-15","chicago_il/chinook_salmon","chicago_il","chinook_salmon","open","spring_nearshore_transient","3.88","0","1","1","1","1"
"2027-02-15","chicago_il/chinook_salmon","chicago_il","chinook_salmon","open","spring_nearshore_transient","3.88","0","1","1","1","1"
"2027-03-15","chicago_il/chinook_salmon","chicago_il","chinook_salmon","open","spring_nearshore_transient","3.88","0","1","1","1","1"
"2027-04-15","chicago_il/chinook_salmon","chicago_il","chinook_salmon","open","spring_nearshore_transient","3.88","0.294","1.845","1.254","1.55","1.845"
"2027-05-15","chicago_il/chinook_salmon","chicago_il","chinook_salmon","open","spring_nearshore_transient","3.88","0.892","3.568","1.77","2.669","3.568"
"2027-06-15","chicago_il/chinook_salmon","chicago_il","chinook_salmon","open","spring_nearshore_transient","3.88","0.329","1.948","1.284","1.616","1.948"
"2027-07-15","chicago_il/chinook_salmon","chicago_il","chinook_salmon","open","spring_nearshore_transient","3.88","0","1","1","1","1"
"2027-08-15","chicago_il/chinook_salmon","chicago_il","chinook_salmon","open","fall_harbor_staging","7","0.42","3.52","1.756","2.638","3.52"
"2027-09-15","chicago_il/chinook_salmon","chicago_il","chinook_salmon","open","fall_harbor_staging","7","0.882","6.294","2.588","4.441","6.294"
"2027-10-15","chicago_il/chinook_salmon","chicago_il","chinook_salmon","open","fall_harbor_staging","7","0.12","1.72","1.216","1.468","1.72"
"2027-11-15","chicago_il/chinook_salmon","chicago_il","chinook_salmon","open","spring_nearshore_transient","3.88","0","1","1","1","1"
"2027-12-15","chicago_il/chinook_salmon","chicago_il","chinook_salmon","open","spring_nearshore_transient","3.88","0","1","1","1","1"
"2027-01-15","chicago_il/coho_salmon","chicago_il","coho_salmon","open","spring_nearshore","8.2","0.192","2.379","1.414","1.896","2.379"
"2027-02-15","chicago_il/coho_salmon","chicago_il","coho_salmon","open","spring_nearshore","8.2","0.35","3.52","1.756","2.638","3.52"
"2027-03-15","chicago_il/coho_salmon","chicago_il","coho_salmon","open","spring_nearshore","8.2","0.664","5.78","2.434","4.107","5.78"
