date,stage,daily_score,daily_label,temp_f,flow_cfs,flow_band,spread,05_09,09_13,13_17,17_21,best_block,headline,detail,tip
2025-09-12,pre_run,19,Inactive,68.72,1040,very_low,1,19,19,18,19,05-09,Today’s Steelhead activity outlook is inactive.,"Conditions provide little environmental support for an aggressive response. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Steelhead that may already have entered. This read combines Fulton Street flow, North Park measured water temperature, and Grand Rapids weather for the downtown Grand Rapids mainstem. It does not directly measure Grand Haven, the full Lower river, or reaches upstream of North Park. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If conditions change, favor the window that best combines workable light with measured water temperature."
2025-09-13,pre_run,20,Reserved,69.26,1040,very_low,0,20,20,20,20,05-09,Today’s Steelhead activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Steelhead that may already have entered. This read combines Fulton Street flow, North Park measured water temperature, and Grand Rapids weather for the downtown Grand Rapids mainstem. It does not directly measure Grand Haven, the full Lower river, or reaches upstream of North Park. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If conditions change, favor the window that best combines workable light with measured water temperature."
2024-09-12,pre_run,21,Reserved,70.34,1490,low,1,21,20,20,21,05-09,Today’s Steelhead activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Steelhead that may already have entered. This read combines Fulton Street flow, North Park measured water temperature, and Grand Rapids weather for the downtown Grand Rapids mainstem. It does not directly measure Grand Haven, the full Lower river, or reaches upstream of North Park. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If conditions change, favor the window that best combines workable light with measured water temperature."
2024-09-13,pre_run,22,Reserved,70.88,1460,low,2,22,21,20,22,05-09,Today’s Steelhead activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Steelhead that may already have entered. This read combines Fulton Street flow, North Park measured water temperature, and Grand Rapids weather for the downtown Grand Rapids mainstem. It does not directly measure Grand Haven, the full Lower river, or reaches upstream of North Park. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If conditions change, favor the window that best combines workable light with measured water temperature."
2021-09-11,pre_run,22,Reserved,69.26,1610,low,1,22,21,21,22,05-09,Today’s Steelhead activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Steelhead that may already have entered. This read combines Fulton Street flow, North Park measured water temperature, and Grand Rapids weather for the downtown Grand Rapids mainstem. It does not directly measure Grand Haven, the full Lower river, or reaches upstream of North Park. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If conditions change, favor the window that best combines workable light with measured water temperature."
2021-09-12,pre_run,23,Reserved,71.06,1630,low,1,23,22,23,23,05-09,Today’s Steelhead activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Steelhead that may already have entered. This read combines Fulton Street flow, North Park measured water temperature, and Grand Rapids weather for the downtown Grand Rapids mainstem. It does not directly measure Grand Haven, the full Lower river, or reaches upstream of North Park. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If conditions change, favor the window that best combines workable light with measured water temperature."
2021-09-14,pre_run,24,Reserved,69.62,2160,ideal,1,24,24,24,25,17-21,Today’s Steelhead activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 PM: The river level and its recent change are favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Steelhead that may already have entered. This read combines Fulton Street flow, North Park measured water temperature, and Grand Rapids weather for the downtown Grand Rapids mainstem. It does not directly measure Grand Haven, the full Lower river, or reaches upstream of North Park. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If conditions change, favor the window that best combines workable light with measured water temperature."
2023-09-10,pre_run,24,Reserved,70.34,2290,ideal,1,24,23,23,24,05-09,Today’s Steelhead activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Steelhead that may already have entered. This read combines Fulton Street flow, North Park measured water temperature, and Grand Rapids weather for the downtown Grand Rapids mainstem. It does not directly measure Grand Haven, the full Lower river, or reaches upstream of North Park. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If conditions change, favor the window that best combines workable light with measured water temperature."
2025-09-11,pre_run,25,Reserved,67.46,1090,very_low,3,26,24,23,26,05-09,Today’s Steelhead activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Steelhead that may already have entered. This read combines Fulton Street flow, North Park measured water temperature, and Grand Rapids weather for the downtown Grand Rapids mainstem. It does not directly measure Grand Haven, the full Lower river, or reaches upstream of North Park. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If conditions change, favor the window that best combines workable light with measured water temperature."
2021-09-13,pre_run,25,Reserved,69.8,1960,ideal,0,25,25,25,25,05-09,Today’s Steelhead activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Steelhead that may already have entered. This read combines Fulton Street flow, North Park measured water temperature, and Grand Rapids weather for the downtown Grand Rapids mainstem. It does not directly measure Grand Haven, the full Lower river, or reaches upstream of North Park. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If conditions change, favor the window that best combines workable light with measured water temperature."
