date,stage,daily_score,daily_label,temp_f,flow_cfs,flow_band,spread,05_09,09_13,13_17,17_21,best_block,headline,detail,tip
2025-08-10,pre_run,24,Reserved,75.2,262,low,1,24,23,24,24,05-09,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read combines Fruitvale Road flow, measured water temperature below Hesperia Dam, and Pines Point weather as complementary conditions for the below-Hesperia corridor. The sensors are in different reaches, so verify conditions at the water you fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2025-08-11,pre_run,24,Reserved,74.7,257,low,0,24,24,24,24,05-09,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read combines Fruitvale Road flow, measured water temperature below Hesperia Dam, and Pines Point weather as complementary conditions for the below-Hesperia corridor. The sensors are in different reaches, so verify conditions at the water you fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2025-08-12,pre_run,25,Reserved,72,260,low,1,24,25,24,25,09-13,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read combines Fruitvale Road flow, measured water temperature below Hesperia Dam, and Pines Point weather as complementary conditions for the below-Hesperia corridor. The sensors are in different reaches, so verify conditions at the water you fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 9 AM–1 PM. If the sky changes from the forecast, favor the darkest practical window."
2025-08-14,pre_run,27,Reserved,71.95,252,low,3,27,26,25,28,17-21,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read combines Fruitvale Road flow, measured water temperature below Hesperia Dam, and Pines Point weather as complementary conditions for the below-Hesperia corridor. The sensors are in different reaches, so verify conditions at the water you fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
2023-08-10,pre_run,28,Reserved,68.5,300,ideal,2,28,27,26,28,05-09,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read combines Fruitvale Road flow, measured water temperature below Hesperia Dam, and Pines Point weather as complementary conditions for the below-Hesperia corridor. The sensors are in different reaches, so verify conditions at the water you fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2025-08-13,pre_run,28,Reserved,69.8,277,ideal,2,28,26,26,28,05-09,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read combines Fruitvale Road flow, measured water temperature below Hesperia Dam, and Pines Point weather as complementary conditions for the below-Hesperia corridor. The sensors are in different reaches, so verify conditions at the water you fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2024-08-14,pre_run,63,Active,67.5,281,ideal,17,67,53,50,67,05-09,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read combines Fruitvale Road flow, measured water temperature below Hesperia Dam, and Pines Point weather as complementary conditions for the below-Hesperia corridor. The sensors are in different reaches, so verify conditions at the water you fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2023-08-12,pre_run,65,Active,66.7,294,ideal,19,69,55,50,68,05-09,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read combines Fruitvale Road flow, measured water temperature below Hesperia Dam, and Pines Point weather as complementary conditions for the below-Hesperia corridor. The sensors are in different reaches, so verify conditions at the water you fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2024-08-13,pre_run,66,Active,66.2,291,ideal,17,70,55,53,69,05-09,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read combines Fruitvale Road flow, measured water temperature below Hesperia Dam, and Pines Point weather as complementary conditions for the below-Hesperia corridor. The sensors are in different reaches, so verify conditions at the water you fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2024-08-12,pre_run,72,Active,65.1,300,ideal,22,72,58,64,80,17-21,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read combines Fruitvale Road flow, measured water temperature below Hesperia Dam, and Pines Point weather as complementary conditions for the below-Hesperia corridor. The sensors are in different reaches, so verify conditions at the water you fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
2023-08-13,pre_run,74,Active,67.8,297,ideal,25,68,56,81,75,13-17,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read combines Fruitvale Road flow, measured water temperature below Hesperia Dam, and Pines Point weather as complementary conditions for the below-Hesperia corridor. The sensors are in different reaches, so verify conditions at the water you fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 1–5 PM. If the sky changes from the forecast, favor the darkest practical window."
2024-08-11,pre_run,77,Active,63.7,309,ideal,15,83,68,75,75,05-09,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read combines Fruitvale Road flow, measured water temperature below Hesperia Dam, and Pines Point weather as complementary conditions for the below-Hesperia corridor. The sensors are in different reaches, so verify conditions at the water you fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
