localDate,cityId,cityName,speciesId,speciesName,disposition,evidenceGrade,seasonalPotential,strongestActiveMode,numericStatus
2025-01-05,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1,spring_nearshore_transient,disabled_candidate
2025-01-12,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1,spring_nearshore_transient,disabled_candidate
2025-01-19,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1,spring_nearshore_transient,disabled_candidate
2025-01-26,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1,spring_nearshore_transient,disabled_candidate
2025-02-02,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1,spring_nearshore_transient,disabled_candidate
2025-02-09,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1,spring_nearshore_transient,disabled_candidate
2025-02-16,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1,spring_nearshore_transient,disabled_candidate
2025-02-23,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1,spring_nearshore_transient,disabled_candidate
2025-03-02,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1,spring_nearshore_transient,disabled_candidate
2025-03-09,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1,spring_nearshore_transient,disabled_candidate
2025-03-16,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1.044,spring_nearshore_transient,disabled_candidate
2025-03-23,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1.35,spring_nearshore_transient,disabled_candidate
2025-03-30,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1.656,spring_nearshore_transient,disabled_candidate
2025-04-06,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,1.963,spring_nearshore_transient,disabled_candidate
2025-04-13,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,2.269,spring_nearshore_transient,disabled_candidate
2025-04-20,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,2.611,spring_nearshore_transient,disabled_candidate
2025-04-27,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,2.981,spring_nearshore_transient,disabled_candidate
2025-05-04,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,3.351,spring_nearshore_transient,disabled_candidate
2025-05-11,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,3.721,spring_nearshore_transient,disabled_candidate
2025-05-18,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,4.104,spring_nearshore_transient,disabled_candidate
2025-05-25,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,4.496,spring_nearshore_transient,disabled_candidate
2025-06-01,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,4.888,spring_nearshore_transient,disabled_candidate
2025-06-08,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,4.511,spring_nearshore_transient,disabled_candidate
2025-06-15,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,3.568,spring_nearshore_transient,disabled_candidate
2025-06-22,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,2.28,spring_nearshore_transient,disabled_candidate
2025-06-29,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,2.435,summer_coldwater_access,disabled_candidate
2025-07-06,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,2.86,summer_coldwater_access,disabled_candidate
2025-07-13,ludington_mi,Ludington,chinook_salmon,Chinook Salmon,admit,A,3.285,summer_coldwater_access,disabled_candidate
