cityId,port,speciesId,dashboardSpecies,period,catchEstimate,matchedAllSpeciesHours,catchPer1000MatchedAllSpeciesHours,positiveMonthYearStrata,enumeratedMonthYearStrata,positiveYears,limitation
"muskegon_mi","MUSKEGON","chinook_salmon","Chinook Salmon","full_export","896","33672","26.6096","16","50","12","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","chinook_salmon","Chinook Salmon","modern_2012_2022_excluding_2020","47","21292","2.2074","2","36","2","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","chinook_salmon","Chinook Salmon","recent_2018_2022_excluding_2020","1","19774","0.0506","1","30","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","coho_salmon","Coho Salmon","full_export","291","37991","7.6597","13","45","11","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","coho_salmon","Coho Salmon","modern_2012_2022_excluding_2020","140","30165","4.6411","8","40","6","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","coho_salmon","Coho Salmon","recent_2018_2022_excluding_2020","112","24996","4.4807","5","31","3","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","steelhead","Steelhead","full_export","1281","45014","28.4578","27","59","21","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","steelhead","Steelhead","modern_2012_2022_excluding_2020","786","27047","29.0605","10","42","7","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","steelhead","Steelhead","recent_2018_2022_excluding_2020","170","19774","8.5971","4","30","3","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","brown_trout","Brown Trout","full_export","1335","42435","31.4599","20","53","18","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","brown_trout","Brown Trout","modern_2012_2022_excluding_2020","446","26051","17.1203","7","40","7","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","brown_trout","Brown Trout","recent_2018_2022_excluding_2020","104","19774","5.2594","3","30","3","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","lake_trout","Lean Lake Trout","full_export","31","23525","1.3177","1","37","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","lake_trout","Lean Lake Trout","modern_2012_2022_excluding_2020","31","23525","1.3177","1","37","1","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","lake_trout","Lean Lake Trout","recent_2018_2022_excluding_2020","0","19774","0","0","30","0","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","walleye","Walleye","full_export","2228","38741","57.5101","24","50","14","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
"muskegon_mi","MUSKEGON","walleye","Walleye","modern_2012_2022_excluding_2020","1278","28732","44.48","15","41","6","Ordinal recurrence/magnitude anchor only; matched hours are all-species effort, not directed-effort CPUE. Port and Pier/Dock can pool structures."
