pairKey,evidenceGrade,pass2Disposition,reason
two_rivers_wi/lake_trout,C,research_hold,"Historical Wisconsin county pier lake trout and offshore abundance establish occurrence, but 2022-24 county estimates are zero and the 2024 statewide pier estimate is only three. Illinois 2023-24 Waukegan pedestrian estimates are zero. No defensible current exact-pier annual magnitude; offshore catch is excluded."
two_rivers_wi/walleye,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
two_rivers_wi/smallmouth_bass,C,research_hold,"A named Two Rivers harbor-pier smallmouth target series, distinct from Veterans Park."
two_rivers_wi/freshwater_drum,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
two_rivers_wi/yellow_perch,C,research_hold,"New DNR perch table finds 2022-24 county pier harvest 0/0/0 in Kewaunee and 0/0/3 in Manitowoc. Algoma 2026 perch report is river, not pier. Local common pier targeting is unproven."
two_rivers_wi/lake_whitefish,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
two_rivers_wi/round_whitefish,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
two_rivers_wi/channel_catfish,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
two_rivers_wi/largemouth_bass,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
two_rivers_wi/atlantic_salmon,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
two_rivers_wi/northern_pike,C,research_hold,"Two Rivers harbor-pier pike target/catch recurrence."
two_rivers_wi/burbot,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
two_rivers_wi/white_perch,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
two_rivers_wi/white_bass,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
two_rivers_wi/bluegill,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
kewaunee_wi/walleye,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
kewaunee_wi/smallmouth_bass,C,research_hold,"Find modern Kewaunee south-pier smallmouth targeting and season strength."
kewaunee_wi/freshwater_drum,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
kewaunee_wi/yellow_perch,C,research_hold,"New DNR perch table finds 2022-24 county pier harvest 0/0/0 in Kewaunee and 0/0/3 in Manitowoc. Algoma 2026 perch report is river, not pier. Local common pier targeting is unproven."
kewaunee_wi/lake_whitefish,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
kewaunee_wi/round_whitefish,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
kewaunee_wi/channel_catfish,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
kewaunee_wi/largemouth_bass,D,exclude,"Reopen only for a new, recurring, named city-pier target record."
