date,stage,daily_score,daily_label,temp_f,flow_cfs,flow_band,spread,block_1_id,block_1_score,block_1_cloud_pct,block_2_id,block_2_score,block_2_cloud_pct,block_3_id,block_3_score,block_3_cloud_pct,best_block,headline,detail,tip
2022-12-23,beginning,29,Reserved,32.2,676,ideal,0,09-12,29,100,12-15,29,100,15-18,29,100,09-12,Today’s Winter Steelhead Activity is reserved.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2022-12-27,beginning,29,Reserved,32.2,650,ideal,0,09-12,29,100,12-15,29,100,15-18,29,100,09-12,Today’s Winter Steelhead Activity is reserved.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-01-05,beginning,29,Reserved,33.25,715,ideal,0,09-12,29,100,12-15,29,100,15-18,29,100,09-12,Today’s Winter Steelhead Activity is reserved.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-01-07,beginning,49,Moderate,34.4,642,ideal,0,09-12,49,100,12-15,49,100,15-18,49,100,09-12,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-12-30,beginning,56,Moderate,35.2,677,ideal,0,09-12,56,100,12-15,56,100,15-18,56,100,09-12,Today’s Winter Steelhead Activity is moderate.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-12-23,beginning,65,Active,35.6,536,ideal,4,09-12,62,1,12-15,64,51,15-18,66,68,15-18,Today’s Winter Steelhead Activity is active.,"A gradual measured-water warm-up is favorable. The strongest daylight window is 3 PM–6 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 3 PM–6 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2022-12-31,beginning,67,Active,39,946,high_fishable,0,09-12,67,100,12-15,67,100,15-18,67,100,09-12,Today’s Winter Steelhead Activity is active.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2021-12-24,beginning,69,Active,36.7,717,ideal,0,09-12,69,100,12-15,69,100,15-18,69,100,09-12,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2021-12-29,beginning,72,Active,37.4,709,ideal,4,09-12,73,100,12-15,73,100,15-18,69,36,09-12,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2024-01-02,beginning,73,Active,39.6,559,ideal,4,09-12,70,31,12-15,73,92,15-18,74,100,15-18,Today’s Winter Steelhead Activity is active.,"Cooling water reduces expected response. The strongest daylight window is 3 PM–6 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 3 PM–6 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2026-01-07,beginning,74,Active,39,566,ideal,0,09-12,74,100,12-15,74,100,15-18,74,100,09-12,Today’s Winter Steelhead Activity is active.,"The large measured-water swing is penalized. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-12-24,beginning,75,Active,37,533,ideal,0,09-12,75,100,12-15,75,100,15-18,75,100,09-12,Today’s Winter Steelhead Activity is active.,"A gradual measured-water warm-up is favorable. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2021-12-27,beginning,76,Active,38.3,734,ideal,0,09-12,76,100,12-15,76,100,15-18,76,100,09-12,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. PM flow is measured at Scottville; water temperature follows the labeled PMTU station priority. Conditions and ice can differ among reaches.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
