date,stage,daily_score,daily_label,temp_f,flow_cfs,flow_band,spread,05_09,09_13,13_17,17_21,best_block,headline,detail,tip
2010-08-30,pre_run,7,Inactive,70.88,1330,low,2,8,6,6,7,05-09,Today’s lake-run Brown Trout activity outlook is inactive.,"Conditions provide little environmental support for an aggressive response. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. The measured conditions represent the Wellston/Tippy tailwater in the Upper river. Migratory Brown Trout can be distributed elsewhere below Tippy Dam, where temperature, clarity, and presentation conditions can differ. Early migratory Brown Trout may still be lakeward or in the Lower and Middle river. Do not apply this Wellston-based score unchanged to those sections. This read uses a current river level, measured water temperature, and the hourly weather outlook.",Start with 5–9 AM. Keep this responsiveness outlook separate from abundance and migration stage.
2010-08-25,pre_run,9,Inactive,71.06,1530,ideal,1,8,8,9,9,13-17,Today’s lake-run Brown Trout activity outlook is inactive.,"Conditions provide little environmental support for an aggressive response. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. The measured conditions represent the Wellston/Tippy tailwater in the Upper river. Migratory Brown Trout can be distributed elsewhere below Tippy Dam, where temperature, clarity, and presentation conditions can differ. Early migratory Brown Trout may still be lakeward or in the Lower and Middle river. Do not apply this Wellston-based score unchanged to those sections. This read uses a current river level, measured water temperature, and the hourly weather outlook.",Start with 1–5 PM. Keep this responsiveness outlook separate from abundance and migration stage.
2012-08-25,pre_run,16,Inactive,68.72,1240,low,3,16,14,14,17,17-21,Today’s lake-run Brown Trout activity outlook is inactive.,"Conditions provide little environmental support for an aggressive response. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. The measured conditions represent the Wellston/Tippy tailwater in the Upper river. Migratory Brown Trout can be distributed elsewhere below Tippy Dam, where temperature, clarity, and presentation conditions can differ. Early migratory Brown Trout may still be lakeward or in the Lower and Middle river. Do not apply this Wellston-based score unchanged to those sections. This read uses a current river level, measured water temperature, and the hourly weather outlook.",Start with 5–9 PM. Keep this responsiveness outlook separate from abundance and migration stage.
2023-08-28,pre_run,17,Inactive,67.82,1350,low,4,18,15,14,18,05-09,Today’s lake-run Brown Trout activity outlook is inactive.,"Conditions provide little environmental support for an aggressive response. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. The measured conditions represent the Wellston/Tippy tailwater in the Upper river. Migratory Brown Trout can be distributed elsewhere below Tippy Dam, where temperature, clarity, and presentation conditions can differ. Early migratory Brown Trout may still be lakeward or in the Lower and Middle river. Do not apply this Wellston-based score unchanged to those sections. This read uses a current river level, measured water temperature, and the hourly weather outlook.",Start with 5–9 AM. Keep this responsiveness outlook separate from abundance and migration stage.
2025-08-29,pre_run,17,Inactive,68.18,1350,low,2,17,15,16,17,05-09,Today’s lake-run Brown Trout activity outlook is inactive.,"Conditions provide little environmental support for an aggressive response. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. The measured conditions represent the Wellston/Tippy tailwater in the Upper river. Migratory Brown Trout can be distributed elsewhere below Tippy Dam, where temperature, clarity, and presentation conditions can differ. Early migratory Brown Trout may still be lakeward or in the Lower and Middle river. Do not apply this Wellston-based score unchanged to those sections. This read uses a current river level, measured water temperature, and the hourly weather outlook.",Start with 5–9 AM. Keep this responsiveness outlook separate from abundance and migration stage.
2008-08-30,pre_run,18,Inactive,68.54,1470,ideal,3,18,16,17,19,17-21,Today’s lake-run Brown Trout activity outlook is inactive.,"Conditions provide little environmental support for an aggressive response. The strongest window is 5–9 PM: The river level and its recent change are favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. The measured conditions represent the Wellston/Tippy tailwater in the Upper river. Migratory Brown Trout can be distributed elsewhere below Tippy Dam, where temperature, clarity, and presentation conditions can differ. Early migratory Brown Trout may still be lakeward or in the Lower and Middle river. Do not apply this Wellston-based score unchanged to those sections. This read uses a current river level, measured water temperature, and the hourly weather outlook.",Start with 5–9 PM. Keep this responsiveness outlook separate from abundance and migration stage.
2007-08-28,pre_run,19,Inactive,68.18,1490,ideal,5,21,16,16,18,05-09,Today’s lake-run Brown Trout activity outlook is inactive.,"Conditions provide little environmental support for an aggressive response. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. The measured conditions represent the Wellston/Tippy tailwater in the Upper river. Migratory Brown Trout can be distributed elsewhere below Tippy Dam, where temperature, clarity, and presentation conditions can differ. Early migratory Brown Trout may still be lakeward or in the Lower and Middle river. Do not apply this Wellston-based score unchanged to those sections. This read uses a current river level, measured water temperature, and the hourly weather outlook.",Start with 5–9 AM. Keep this responsiveness outlook separate from abundance and migration stage.
2019-08-30,pre_run,19,Inactive,66.74,1590,ideal,3,20,17,17,20,05-09,Today’s lake-run Brown Trout activity outlook is inactive.,"Conditions provide little environmental support for an aggressive response. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. The measured conditions represent the Wellston/Tippy tailwater in the Upper river. Migratory Brown Trout can be distributed elsewhere below Tippy Dam, where temperature, clarity, and presentation conditions can differ. Early migratory Brown Trout may still be lakeward or in the Lower and Middle river. Do not apply this Wellston-based score unchanged to those sections. This read uses a current river level, measured water temperature, and the hourly weather outlook.",Start with 5–9 AM. Keep this responsiveness outlook separate from abundance and migration stage.
2013-08-26,pre_run,20,Reserved,68.54,1270,low,4,20,20,20,16,05-09,Today’s lake-run Brown Trout activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. The measured conditions represent the Wellston/Tippy tailwater in the Upper river. Migratory Brown Trout can be distributed elsewhere below Tippy Dam, where temperature, clarity, and presentation conditions can differ. Early migratory Brown Trout may still be lakeward or in the Lower and Middle river. Do not apply this Wellston-based score unchanged to those sections. This read uses a current river level, measured water temperature, and the hourly weather outlook.",Start with 5–9 AM. Keep this responsiveness outlook separate from abundance and migration stage.
2012-08-26,pre_run,20,Reserved,68.54,1240,low,1,19,19,20,20,13-17,Today’s lake-run Brown Trout activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. The measured conditions represent the Wellston/Tippy tailwater in the Upper river. Migratory Brown Trout can be distributed elsewhere below Tippy Dam, where temperature, clarity, and presentation conditions can differ. Early migratory Brown Trout may still be lakeward or in the Lower and Middle river. Do not apply this Wellston-based score unchanged to those sections. This read uses a current river level, measured water temperature, and the hourly weather outlook.",Start with 1–5 PM. Keep this responsiveness outlook separate from abundance and migration stage.
