City,View,Date (MM-DD),Chinook Salmon,Coho Salmon,Steelhead,Brown Trout,Lake Trout,Walleye,Smallmouth Bass,Freshwater Drum,Yellow Perch,Lake Whitefish,Round Whitefish,Channel Catfish,Largemouth Bass
Ludington,Dates,01-15,1,1.3,4,4,Not configured,Not configured,1.5,Not configured,1.5,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,02-15,1.1033333333333333,1.9314814814814816,4.459259259259259,4.9185185185185185,Not configured,Not configured,1.5,Not configured,1.5,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,03-10,1.18,2.4,4.8,5.6,Not configured,Not configured,1.5,Not configured,1.9107142857142856,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,03-15,1.1966666666666668,2.476923076923077,5.030769230769231,5.984615384615385,Not configured,Not configured,1.5,Not configured,2,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,04-05,1.2666666666666666,2.8,6,7.6,Not configured,Not configured,1.5,Not configured,2,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,04-15,1.3,2.7666666666666666,5.2,7.4,Not configured,Not configured,1.5,Not configured,2,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,04-25,1.9666666666666666,2.7333333333333334,4.4,7.2,Not configured,Not configured,1.8333333333333333,Not configured,2,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,05-05,2.633333333333333,2.7,3.6,6.56,Not configured,Not configured,2.1666666666666665,Not configured,2,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,05-10,2.966666666666667,2.5548387096774197,3.2,6.24,Not configured,Not configured,2.3333333333333335,Not configured,2,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,05-15,3.3,2.4096774193548387,3.1444444444444444,5.92,Not configured,Not configured,2.5,Not configured,2,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,05-20,3.7473684210526312,2.264516129032258,3.088888888888889,5.6,Not configured,Not configured,2.661290322580645,Not configured,2.4838709677419355,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,06-03,5,1.8580645161290323,2.933333333333333,4.606451612903226,Not configured,Not configured,3.1129032258064515,Not configured,3.838709677419355,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,06-05,4.866666666666667,1.8,2.911111111111111,4.464516129032258,Not configured,Not configured,3.1774193548387095,Not configured,4.032258064516129,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,06-15,4.2,1.8,2.8,3.7548387096774194,Not configured,Not configured,3.5,Not configured,5,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,06-20,3.8666666666666667,1.8,2.6934426229508195,3.4,Not configured,Not configured,3.6666666666666665,Not configured,5.166666666666667,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,06-24,3.6,1.8,2.6081967213114754,3.242857142857143,Not configured,Not configured,3.8,Not configured,5.3,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,07-15,2.9538461538461536,1.8,2.160655737704918,2.4178571428571427,Not configured,Not configured,4.5,Not configured,6,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,07-20,2.8,1.8,2.054098360655738,2.2214285714285715,Not configured,Not configured,4.419354838709677,Not configured,5.435483870967742,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,08-05,4.2,2.3333333333333335,1.7131147540983607,1.5928571428571427,Not configured,Not configured,4.161290322580645,Not configured,3.6290322580645165,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,08-15,6.012499999999999,2.6666666666666665,1.5,1.2,Not configured,Not configured,4,Not configured,2.5,Not configured,Not configured,Not configured,Not configured
Ludington,Dates,08-21,7.1,2.8666666666666667,1.778048780487805,1.298360655737705,Not configured,Not configured,3.709677419354839,Not configured,2.403225806451613,Not configured,Not configured,Not configured,Not configured
