speciesId,speciesName,rank,cityId,cityName,pairKey,peak,cohort
"atlantic_salmon","Atlantic salmon","1","oscoda_mi","Oscoda","oscoda_mi/atlantic_salmon","8.4","established_michigan_all_species"
"atlantic_salmon","Atlantic salmon","2","alpena_mi","Alpena, Michigan","alpena_mi/atlantic_salmon","7.2","new_private_pass2"
"atlantic_salmon","Atlantic salmon","3","port_sanilac_mi","Port Sanilac","port_sanilac_mi/atlantic_salmon","6.3","established_michigan_all_species"
"atlantic_salmon","Atlantic salmon","4","harbor_beach_mi","Harbor Beach","harbor_beach_mi/atlantic_salmon","5.2","established_michigan_all_species"
"bluegill","Bluegill","1","muskegon_mi","Muskegon, Michigan","muskegon_mi/bluegill","6","new_private_pass2"
"bluegill","Bluegill","2","grand_haven_mi","Grand Haven","grand_haven_mi/bluegill","5.8","established_michigan_all_species"
"bluegill","Bluegill","3","michigan_city_in","Michigan City, Indiana","michigan_city_in/bluegill","5.2","new_private_pass2"
"bluegill","Bluegill","4","whitehall_mi","Whitehall, Michigan","whitehall_mi/bluegill","5.2","new_private_pass2"
"brown_trout","Brown trout","1","manistee_mi","Manistee","manistee_mi/brown_trout","8.2","established_or_prior_private_common_species"
"brown_trout","Brown trout","2","port_washington_wi","Port Washington","port_washington_wi/brown_trout","8.1","established_or_prior_private_common_species"
"brown_trout","Brown trout","3","sheboygan_wi","Sheboygan","sheboygan_wi/brown_trout","7.8","established_or_prior_private_common_species"
"brown_trout","Brown trout","4","whitehall_mi","Whitehall, Michigan","whitehall_mi/brown_trout","7.7","new_private_pass2"
"brown_trout","Brown trout","5","algoma_wi","Algoma","algoma_wi/brown_trout","7.6","established_or_prior_private_common_species"
"brown_trout","Brown trout","6","grand_haven_mi","Grand Haven","grand_haven_mi/brown_trout","7.6","established_or_prior_private_common_species"
"brown_trout","Brown trout","7","ludington_mi","Ludington","ludington_mi/brown_trout","7.6","established_or_prior_private_common_species"
"brown_trout","Brown trout","8","frankfort_elberta_mi","Frankfort–Elberta","frankfort_elberta_mi/brown_trout","7.5","established_or_prior_private_common_species"
"brown_trout","Brown trout","9","kewaunee_wi","Kewaunee","kewaunee_wi/brown_trout","7.4","established_or_prior_private_common_species"
"brown_trout","Brown trout","10","milwaukee_wi","Milwaukee","milwaukee_wi/brown_trout","7.4","established_or_prior_private_common_species"
"brown_trout","Brown trout","11","racine_wi","Racine","racine_wi/brown_trout","7.3","established_or_prior_private_common_species"
"brown_trout","Brown trout","12","manitowoc_wi","Manitowoc","manitowoc_wi/brown_trout","7.2","established_or_prior_private_common_species"
"brown_trout","Brown trout","13","two_rivers_wi","Two Rivers","two_rivers_wi/brown_trout","7.2","established_or_prior_private_common_species"
