pair_key,city_id,species_id,pass2_disposition,evidence_grade,reason,next_evidence
st_joseph_mi/walleye,st_joseph_mi,walleye,research_hold_unscored,C,Connected-river and port-level leads remain insufficient to establish recurring intentional fishing at either covered pierhead. No placeholder score is permitted.,"Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
st_joseph_mi/smallmouth_bass,st_joseph_mi,smallmouth_bass,research_hold_unscored,C,Connected-water occurrence remains separated from the pierheads; no recurring exact-pier magnitude or annual shape was found. No placeholder score is permitted.,"Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
st_joseph_mi/freshwater_drum,st_joseph_mi,freshwater_drum,research_hold_unscored,C,"The port roadmap creates a seasonal lead, but no resolved St. Joseph Pier/Dock series or exact-pier magnitude supports admission. No placeholder score is permitted.","Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
st_joseph_mi/round_whitefish,st_joseph_mi,round_whitefish,research_hold_unscored,C,"Generic county 'whitefish' language cannot be converted to round whitefish, and no exact-pier recurring record was found. No placeholder score is permitted.","Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
st_joseph_mi/channel_catfish,st_joseph_mi,channel_catfish,research_hold_unscored,C,Generic county 'catfish' and connected-river evidence do not identify channel catfish as a recurring pierhead target. No placeholder score is permitted.,"Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
st_joseph_mi/largemouth_bass,st_joseph_mi,largemouth_bass,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
st_joseph_mi/atlantic_salmon,st_joseph_mi,atlantic_salmon,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
st_joseph_mi/northern_pike,st_joseph_mi,northern_pike,research_hold_unscored,C,Plausible connected-harbor occurrence remains unallocated to the two covered pierheads. No placeholder score is permitted.,"Reopen in Pass 2; seek recurring exact-structure targeting and resolve generic taxonomy, sparse years, or mode/geography mismatch."
st_joseph_mi/burbot,st_joseph_mi,burbot,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
st_joseph_mi/white_perch,st_joseph_mi,white_perch,exclude_unscored,D,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence.",Reopen in Pass 2 and change only if new covered-structure evidence appears; never treat this row as proof of biological absence.
