date,stage,daily_score,daily_label,temp_f,flow_cfs,flow_band,spread,05_09,09_13,13_17,17_21,cloud_05_09,cloud_09_13,cloud_13_17,cloud_17_21,best_block,headline,detail,tip
"2021-08-22","beginning","69","Active","67.5","546","ideal","15","74","59","64","69","45","32","52","0","05-09","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2021-08-25","building","80","Highly active","65.8","580","ideal","32","86","62","55","87","90","34","20","93","17-21","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. More Chinook are moving and settling into the river; the score describes reaction conditions for fish already present. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2021-08-30","building","27","Reserved","69.4","929","high_fishable","3","28","26","25","28","0","4","6","14","05-09","Today’s Chinook activity outlook is reserved.","Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. More Chinook are moving and settling into the river; the score describes reaction conditions for fish already present. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2021-09-17","building","77","Active","59.3","578","ideal","26","77","67","60","86","0","37","15","73","17-21","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. More Chinook are moving and settling into the river; the score describes reaction conditions for fish already present. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2021-09-20","peak","90","Highly active","60.4","543","ideal","11","92","92","89","81","98","98","89","44","05-09","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Broad seasonal presence improves the chance of locating fish, but this score measures responsiveness rather than abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2021-09-25","peak","81","Highly active","55.8","591","ideal","29","94","69","65","78","100","40","34","31","05-09","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Broad seasonal presence improves the chance of locating fish, but this score measures responsiveness rather than abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2021-09-30","peak","80","Highly active","55.8","574","ideal","13","82","81","69","79","49","76","47","39","05-09","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Broad seasonal presence improves the chance of locating fish, but this score measures responsiveness rather than abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2021-10-03","tapering","57","Moderate","58.2","593","ideal","2","56","57","57","55","100","99","99","100","09-13","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. Freshness and individual condition are becoming less consistent. This score applies only to living Chinook still capable of responding; it cannot judge the condition of an individual fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Compare the four time windows, but treat every difference as conditional on finding a living Chinook still capable of responding."
"2021-10-04","tapering","55","Moderate","58.8","644","ideal","9","57","55","56","48","100","95","99","40","05-09","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Freshness and individual condition are becoming less consistent. This score applies only to living Chinook still capable of responding; it cannot judge the condition of an individual fish. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Compare the four time windows, but treat every difference as conditional on finding a living Chinook still capable of responding."
"2021-10-21","ending","46","Moderate","52.7","619","ideal","6","47","47","46","41","100","100","100","61","05-09","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Many late-run Chinook may be spawning, spent, dying, or already gone. This score applies only to a living fish still capable of reacting; favorable weather cannot reverse that decline. This read uses a current river level, measured water temperature, and the hourly weather outlook.","No late-run window should be treated as broadly favorable; use the block scores only for a living Chinook that is still capable of reacting."
"2021-10-23","ending","40","Moderate","50.4","634","ideal","13","44","31","37","39","86","18","64","42","05-09","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Many late-run Chinook may be spawning, spent, dying, or already gone. This score applies only to a living fish still capable of reacting; favorable weather cannot reverse that decline. This read uses a current river level, measured water temperature, and the hourly weather outlook.","No late-run window should be treated as broadly favorable; use the block scores only for a living Chinook that is still capable of reacting."
"2021-10-27","ending","42","Moderate","46.2","614","ideal","8","36","38","44","44","1","77","100","100","13-17","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. Many late-run Chinook may be spawning, spent, dying, or already gone. This score applies only to a living fish still capable of reacting; favorable weather cannot reverse that decline. This read uses a current river level, measured water temperature, and the hourly weather outlook.","No late-run window should be treated as broadly favorable; use the block scores only for a living Chinook that is still capable of reacting."
"2021-11-05","post_run","40","Moderate","43.2","609","ideal","9","37","33","40","42","57","59","93","100","17-21","Today’s Chinook activity outlook is moderate.","Some useful factors are present, but the response window is mixed. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. Many late-run Chinook may be spawning, spent, dying, or already gone. This score applies only to a living fish still capable of reacting; favorable weather cannot reverse that decline. This read uses a current river level, measured water temperature, and the hourly weather outlook.","No late-run window should be treated as broadly favorable; use the block scores only for a living Chinook that is still capable of reacting."
"2021-11-08","post_run","35","Reserved","46.4","605","ideal","8","36","29","29","37","0","0","0","45","17-21","Today’s Chinook activity outlook is reserved.","Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. Many late-run Chinook may be spawning, spent, dying, or already gone. This score applies only to a living fish still capable of reacting; favorable weather cannot reverse that decline. This read uses a current river level, measured water temperature, and the hourly weather outlook.","No late-run window should be treated as broadly favorable; use the block scores only for a living Chinook that is still capable of reacting."
"2022-07-29","pre_run","68","Active","65.3","561","ideal","18","72","58","54","72","0","16","18","26","05-09","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2022-08-02","pre_run","69","Active","64.4","504","normal_fishable","25","71","56","51","76","0","0","0","53","17-21","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2022-08-12","pre_run","84","Highly active","63.1","489","low","14","83","84","87","73","74","90","100","21","13-17","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 1–5 PM. If the sky changes from the forecast, favor the darkest practical window."
"2022-08-13","pre_run","95","Highly active","61.5","522","normal_fishable","5","94","92","92","97","100","100","100","100","17-21","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2022-08-15","beginning","75","Active","60.4","658","ideal","19","78","63","62","81","2","11","20","40","17-21","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2022-08-17","beginning","72","Active","62.8","586","ideal","19","76","60","58","77","2","4","15","28","17-21","Today’s Chinook activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2022-08-19","beginning","81","Highly active","63.8","525","ideal","18","87","80","69","79","86","78","52","51","05-09","Today’s Chinook activity outlook is highly active.","Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
