date,stage,daily_score,daily_label,temp_f,flow_cfs,flow_band,spread,05_09,09_13,13_17,17_21,best_block,headline,detail,tip
2023-08-25,pre_run,25,Reserved,70.16,655,very_low,1,25,24,24,25,05-09,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2016-08-27,pre_run,26,Reserved,68.72,755,very_low,1,26,25,25,26,05-09,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2019-08-28,pre_run,27,Reserved,68.54,840,low,1,27,26,26,27,05-09,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2022-09-01,pre_run,28,Reserved,68.36,916,ideal,1,28,27,27,28,05-09,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2020-08-26,pre_run,54,Moderate,67.28,793,low,9,56,50,47,55,05-09,Today’s Chinook activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2021-08-26,pre_run,58,Moderate,66.56,711,very_low,2,57,59,57,57,09-13,Today’s Chinook activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 9 AM–1 PM. If the sky changes from the forecast, favor the darkest practical window."
2023-08-29,pre_run,61,Active,66.02,756,very_low,7,60,62,55,61,09-13,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 9 AM–1 PM. If the sky changes from the forecast, favor the darkest practical window."
2015-09-01,pre_run,63,Active,65.84,754,very_low,5,60,59,63,64,17-21,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
2017-08-28,pre_run,66,Active,66.56,914,ideal,8,68,62,60,68,05-09,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2015-09-03,pre_run,68,Active,63.14,754,very_low,8,67,63,64,71,17-21,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 PM: The measured water temperature is favorable for Chinook. The main limitation: The river level or its recent change is less favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
2017-08-26,pre_run,70,Active,65.48,922,ideal,8,72,65,64,71,05-09,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2022-09-03,pre_run,73,Active,66.74,910,ideal,7,75,75,69,68,05-09,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2017-08-25,pre_run,77,Active,64.94,929,ideal,12,79,79,67,74,05-09,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2012-09-03,pre_run,81,Highly active,61.7,919,ideal,8,83,77,75,83,05-09,Today’s Chinook activity outlook is highly active.,"Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 AM: The measured water temperature is favorable for Chinook. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2016-09-04,pre_run,87,Highly active,62.96,916,ideal,2,87,87,85,85,05-09,Today’s Chinook activity outlook is highly active.,"Conditions strongly favor a response from Chinook that are present and capable of reacting. The strongest window is 5–9 AM: The measured water temperature is favorable for Chinook. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2025-09-05,beginning,27,Reserved,68.18,782,low,0,27,27,27,27,05-09,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. Measured Oregon City flow and temperature support the lower reach only; River Mill is the species endpoint. This is conditional responsiveness, not movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
