date,stage,daily_score,daily_label,temp_f,flow_cfs,flow_band,spread,block_1_id,block_1_score,block_1_cloud_pct,block_2_id,block_2_score,block_2_cloud_pct,block_3_id,block_3_score,block_3_cloud_pct,best_block,headline,detail,tip
2022-01-06,beginning,29,Reserved,32.54,4790,high_fishable,0,09-12,29,100,12-15,29,100,15-18,29,100,09-12,Today’s Winter Steelhead Activity is reserved.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2022-12-25,beginning,29,Reserved,32,2290,ideal,0,09-12,29,100,12-15,29,99,15-18,29,74,09-12,Today’s Winter Steelhead Activity is reserved.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-01-06,beginning,29,Reserved,33.44,3090,ideal,0,09-12,29,76,12-15,29,85,15-18,29,30,09-12,Today’s Winter Steelhead Activity is reserved.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2026-01-03,beginning,47,Moderate,33.62,3290,high_fishable,0,09-12,47,100,12-15,47,100,15-18,47,100,09-12,Today’s Winter Steelhead Activity is moderate.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2026-01-04,beginning,49,Moderate,34.16,3260,high_fishable,0,09-12,49,100,12-15,49,100,15-18,49,100,09-12,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2021-12-23,beginning,60,Active,37.22,5230,very_high,0,09-12,60,100,12-15,60,100,15-18,60,100,09-12,Today’s Winter Steelhead Activity is active.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-12-31,beginning,63,Active,37.04,3670,high_fishable,0,09-12,63,100,12-15,63,100,15-18,63,100,09-12,Today’s Winter Steelhead Activity is active.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-01-03,beginning,68,Active,38.12,3610,high_fishable,0,09-12,68,98,12-15,68,100,15-18,68,100,09-12,Today’s Winter Steelhead Activity is active.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2024-01-05,beginning,70,Active,38.66,2960,ideal,2,09-12,70,78,12-15,69,68,15-18,71,96,15-18,Today’s Winter Steelhead Activity is active.,"Cooling water reduces expected response. The strongest daylight window is 3 PM–6 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 3 PM–6 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2024-12-26,beginning,71,Active,37.22,2040,ideal,2,09-12,72,99,12-15,71,94,15-18,70,72,09-12,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2024-01-04,beginning,72,Active,39.38,2980,ideal,1,09-12,73,96,12-15,72,86,15-18,72,84,09-12,Today’s Winter Steelhead Activity is active.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2021-12-25,beginning,73,Active,38.66,4950,high_fishable,2,09-12,73,100,12-15,73,100,15-18,71,76,09-12,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2024-01-02,beginning,76,Active,41,3010,ideal,5,09-12,72,6,12-15,76,81,15-18,77,97,15-18,Today’s Winter Steelhead Activity is active.,"Cooling water reduces expected response. The strongest daylight window is 3 PM–6 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 3 PM–6 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2024-12-27,beginning,77,Active,38.66,2100,ideal,0,09-12,77,100,12-15,77,100,15-18,77,100,09-12,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2023-12-30,beginning,80,Highly active,43.88,3290,high_fishable,3,09-12,81,11,12-15,78,1,15-18,80,2,09-12,Today’s Winter Steelhead Activity is highly active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2023-12-23,beginning,81,Highly active,40.1,2740,ideal,0,09-12,81,100,12-15,81,100,15-18,81,100,09-12,Today’s Winter Steelhead Activity is highly active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions describe the Niles mainstem and cannot be extrapolated to the harbor, each tailwater, South Bend, Mishawaka, or Twin Branch.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
