pairKey,cityId,speciesId,disposition,evidenceGrade,reason,nextEvidence
"chicago_il/walleye","chicago_il","walleye","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure walleye evidence is found; do not interpret this row as proof of absence."
"chicago_il/lake_whitefish","chicago_il","lake_whitefish","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. An exact Montrose record fish is a credible occurrence, but no recurring target series was found.","Find repeated, current, species-specific lake_whitefish target/catch evidence at the covered structure before numeric consideration."
"chicago_il/round_whitefish","chicago_il","round_whitefish","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure round_whitefish evidence is found; do not interpret this row as proof of absence."
"chicago_il/channel_catfish","chicago_il","channel_catfish","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. A credible local occurrence or nearby-mode lead exists, but recurring intentional fishing at the covered structure is not yet established.","Find repeated, current, species-specific channel_catfish target/catch evidence at the covered structure before numeric consideration."
"chicago_il/largemouth_bass","chicago_il","largemouth_bass","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. Named agency or recurring exact-area evidence supports this species as a Pass 2 research candidate; no numeric admission is implied.","Quantify covered-structure largemouth_bass season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"chicago_il/atlantic_salmon","chicago_il","atlantic_salmon","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure atlantic_salmon evidence is found; do not interpret this row as proof of absence."
"chicago_il/burbot","chicago_il","burbot","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. An exact Montrose state-record catch establishes occurrence only.","Find repeated, current, species-specific burbot target/catch evidence at the covered structure before numeric consideration."
"chicago_il/white_perch","chicago_il","white_perch","exclude_unscored","D","Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","Reopen only if new covered-structure white_perch evidence is found; do not interpret this row as proof of absence."
"chicago_il/white_bass","chicago_il","white_bass","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. The city page's 'silver bass' wording is taxonomically ambiguous and cannot be treated as white-bass proof.","Find repeated, current, species-specific white_bass target/catch evidence at the covered structure before numeric consideration."
"chicago_il/bluegill","chicago_il","bluegill","research_hold_unscored","C","Pass 2 reopened this cell but the reviewed record still lacks recurring intentional covered-structure opportunity, defensible magnitude, or a complete annual shape. A credible local occurrence or nearby-mode lead exists, but recurring intentional fishing at the covered structure is not yet established.","Find repeated, current, species-specific bluegill target/catch evidence at the covered structure before numeric consideration."
