date,stage,daily_score,daily_label,temp_f,flow_cfs,flow_band,spread,block_1_id,block_1_score,block_1_cloud_pct,block_2_id,block_2_score,block_2_cloud_pct,block_3_id,block_3_score,block_3_cloud_pct,best_block,headline,detail,tip
2022-12-26,beginning,29,Reserved,33.08,1270,ideal,0,09-12,29,70,12-15,29,74,15-18,29,100,09-12,Today’s Winter Steelhead Activity is reserved.,"Cooling water reduces expected response. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions represent the Croton tailwater, not the full Muskegon corridor to Muskegon Lake.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2022-01-01,beginning,49,Moderate,34.88,1850,ideal,0,09-12,49,100,12-15,49,100,15-18,49,100,09-12,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions represent the Croton tailwater, not the full Muskegon corridor to Muskegon Lake.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2022-01-05,beginning,49,Moderate,34.52,1560,ideal,0,09-12,49,100,12-15,49,100,15-18,49,100,09-12,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions represent the Croton tailwater, not the full Muskegon corridor to Muskegon Lake.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2022-12-28,beginning,49,Moderate,33.62,1570,ideal,0,09-12,49,100,12-15,49,100,15-18,49,100,09-12,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions represent the Croton tailwater, not the full Muskegon corridor to Muskegon Lake.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2023-01-02,beginning,49,Moderate,34.88,2760,high_fishable,0,09-12,49,100,12-15,49,100,15-18,49,100,09-12,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions represent the Croton tailwater, not the full Muskegon corridor to Muskegon Lake.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-12-30,beginning,49,Moderate,34.52,2050,high_fishable,0,09-12,49,100,12-15,49,100,15-18,49,100,09-12,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions represent the Croton tailwater, not the full Muskegon corridor to Muskegon Lake.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2026-01-03,beginning,49,Moderate,33.98,1130,low,0,09-12,49,100,12-15,49,100,15-18,49,100,09-12,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions represent the Croton tailwater, not the full Muskegon corridor to Muskegon Lake.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2026-01-07,beginning,49,Moderate,34.16,1330,ideal,0,09-12,49,100,12-15,49,100,15-18,49,100,09-12,Today’s Winter Steelhead Activity is moderate.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions represent the Croton tailwater, not the full Muskegon corridor to Muskegon Lake.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2023-01-05,beginning,60,Active,35.42,2400,high_fishable,0,09-12,60,100,12-15,60,100,15-18,60,100,09-12,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 9 AM–12 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions represent the Croton tailwater, not the full Muskegon corridor to Muskegon Lake.","Start with 9 AM–12 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
2025-12-23,beginning,61,Active,35.42,1520,ideal,4,09-12,58,0,12-15,61,73,15-18,62,78,15-18,Today’s Winter Steelhead Activity is active.,"Stable measured water avoids a swing penalty. The strongest daylight window is 3 PM–6 PM. Clouds shape the time-window ranking, but cannot override cold-water or hydraulic caps. Rain receives no independent positive score. Measured conditions represent the Croton tailwater, not the full Muskegon corridor to Muskegon Lake.","Start with 3 PM–6 PM in legal, depth-stable holding water. Verify ice, access, and safety directly; this is responsiveness for fish already present, not a new run or catch probability."
