city_id,display_name,water_body,parent_great_lake,species_id,species_name,mandatory_lead,disposition,months_reviewed,alternate_names_reviewed,rationale,unresolved_requirement
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,chinook_salmon,Chinook salmon,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,Chinook salmon|king salmon|king,"Michigan DNR Better Fishing Waters names the species for the exact city/harbor/breakwall or directly covered water. DNR Pier/Dock extract has 21 positive estimate rows across 2000, 2001, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014 and months 4, 7, 8, 9.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,coho_salmon,Coho salmon,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,coho salmon|silver salmon,"DNR Pier/Dock extract has 25 positive estimate rows across 2000, 2001, 2008, 2009, 2012, 2013, 2014, 2017, 2018 and months 4, 7, 8, 9, 10.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,steelhead,Steelhead / rainbow trout,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,steelhead|rainbow trout|Skamania,"Michigan DNR Better Fishing Waters names the species for the exact city/harbor/breakwall or directly covered water. DNR Pier/Dock extract has 50 positive estimate rows across 2000, 2001, 2003, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2014, 2015, 2018 and months 4, 6, 7, 8, 9, 10. Stocking review found 166 target-county records (1980-2026), including connected-water relationships; stocking remains occurrence-pathway evidence only.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,brown_trout,Brown trout,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,brown trout,"Michigan DNR Better Fishing Waters names the species for the exact city/harbor/breakwall or directly covered water. DNR Pier/Dock extract has 30 positive estimate rows across 2000, 2003, 2005, 2006, 2007, 2009, 2011, 2012, 2014, 2015, 2016, 2018 and months 4, 5, 6, 8, 9, 10. Stocking review found 121 target-county records (1979-2018), including connected-water, exact relationships; stocking remains occurrence-pathway evidence only.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,lake_trout,Lake trout,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,lake trout|lean lake trout|laker,"DNR Pier/Dock extract has 2 positive estimate rows across 2015 and months 4. Stocking review found 31 target-county records (1981-2007), including connected-water relationships; stocking remains occurrence-pathway evidence only.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,walleye,Walleye,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,walleye,"DNR Pier/Dock extract has 5 positive estimate rows across 2001, 2016, 2018 and months 4, 7. All 67 target-county stocking records (1979-2026) are classified regional-only and do not establish the target-city structure fishery.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,smallmouth_bass,Smallmouth bass,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,smallmouth bass|smallmouth|smallie,"DNR Pier/Dock extract has 19 positive estimate rows across 1998, 2000, 2006, 2013, 2014, 2015, 2016, 2018 and months 5, 6, 7, 8, 9. All 1 target-county stocking records (1988-1988) are classified regional-only and do not establish the target-city structure fishery.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,freshwater_drum,Freshwater drum,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,freshwater drum|drum|sheepshead,"DNR Pier/Dock extract has 7 positive estimate rows across 2004, 2009, 2015, 2016 and months 6, 7, 8.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,yellow_perch,Yellow perch,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,yellow perch|perch,"Michigan DNR Better Fishing Waters names the species for the exact city/harbor/breakwall or directly covered water. DNR Pier/Dock extract has 18 positive estimate rows across 2008, 2009, 2010, 2012, 2013, 2014, 2016 and months 6, 7, 8, 9.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,lake_whitefish,Lake whitefish,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,lake whitefish|whitefish,DNR Pier/Dock extract has 1 positive estimate rows across 2012 and months 7.,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,round_whitefish,Round whitefish,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,round whitefish|Menominee,DNR Pier/Dock extract has 2 positive estimate rows across 2010 and months 10.,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,channel_catfish,Channel catfish,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,channel catfish|channel cat|catfish,DNR weekly reports identify channel catfish in the Pentwater Lake channel; structure allocation inside the harbor still needs Pass 2 quantification. All 2 target-county stocking records (1988-1989) are classified regional-only and do not establish the target-city structure fishery.,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,largemouth_bass,Largemouth bass,false,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,largemouth bass,"DNR Pier/Dock extract has 2 positive estimate rows across 2014, 2018 and months 5, 9. All 2 target-county stocking records (1981-1988) are classified regional-only and do not establish the target-city structure fishery.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,atlantic_salmon,Atlantic salmon,true,exclude,1|2|3|4|5|6|7|8|9|10|11|12,Atlantic salmon|Atlantic,"No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,northern_pike,Northern pike,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,northern pike|pike,"DNR Pier/Dock extract has 4 positive estimate rows across 2014 and months 4, 6. All 4 target-county stocking records (1988-1990) are classified regional-only and do not establish the target-city structure fishery.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,burbot,Burbot,false,exclude,1|2|3|4|5|6|7|8|9|10|11|12,burbot|lawyer|eelpout,"No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,white_perch,White perch,true,exclude,1|2|3|4|5|6|7|8|9|10|11|12,white perch,"No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
pentwater_mi,Pentwater,Lake Michigan,Lake Michigan,white_bass,White bass,false,exclude,1|2|3|4|5|6|7|8|9|10|11|12,white bass,"No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
rogers_city_mi,Rogers City,Lake Huron,Lake Huron,chinook_salmon,Chinook salmon,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,Chinook salmon|king salmon|king,"Michigan DNR Better Fishing Waters names the species for the exact city/harbor/breakwall or directly covered water. DNR Pier/Dock extract has 8 positive estimate rows across 2003, 2006, 2010, 2011 and months 9, 10. Stocking review found 162 target-county records (1979-2026), including connected-water, exact relationships; stocking remains occurrence-pathway evidence only.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
rogers_city_mi,Rogers City,Lake Huron,Lake Huron,coho_salmon,Coho salmon,true,hold,1|2|3|4|5|6|7|8|9|10|11|12,coho salmon|silver salmon,"Current management and weekly reports show recurring Rogers City coho, but reviewed evidence is mostly boat/offshore and no positive Pier/Dock row resolved. Stocking review found 15 target-county records (1983-1985), including connected-water relationships; stocking remains occurrence-pathway evidence only.",Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
rogers_city_mi,Rogers City,Lake Huron,Lake Huron,steelhead,Steelhead / rainbow trout,true,research_candidate,1|2|3|4|5|6|7|8|9|10|11|12,steelhead|rainbow trout|Skamania,"Michigan DNR Better Fishing Waters names the species for the exact city/harbor/breakwall or directly covered water. DNR Pier/Dock extract has 7 positive estimate rows across 1989, 2007, 2009, 2010, 2011 and months 4, 5. Stocking review found 229 target-county records (1979-2026), including exact, neighboring-port relationships; stocking remains occurrence-pathway evidence only.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
