cityId,cityName,stateCode,speciesId,speciesName,pairKey,disposition,evidenceGrade,modeCount,peakF,idealPeak,peakDate,goodDaysIdeal,excellentDaysIdeal,september22IdealPotential,confidenceMultiplier,decision
ludington_mi,Ludington,MI,chinook_salmon,Chinook salmon,ludington_mi/chinook_salmon,numeric_retained,A,3,8.3,8.3,08-30,38,6,6.548,none,retain_no_numerical_change
ludington_mi,Ludington,MI,coho_salmon,Coho salmon,ludington_mi/coho_salmon,numeric_retained,A,3,5.6,5.6,10-20,0,0,3.826,none,retain_no_numerical_change
ludington_mi,Ludington,MI,steelhead,Steelhead,ludington_mi/steelhead,numeric_retained,A,3,8.1,8.1,10-20,38,2,4.273,none,retain_no_numerical_change
ludington_mi,Ludington,MI,brown_trout,Brown trout,ludington_mi/brown_trout,numeric_retained,A,3,7.6,7.6,04-05,47,0,1.761,none,retain_no_numerical_change
grand_haven_mi,Grand Haven,MI,chinook_salmon,Chinook salmon,grand_haven_mi/chinook_salmon,numeric_retained,A,3,7.8,7.8,09-08,32,0,6.698,none,retain_no_numerical_change
grand_haven_mi,Grand Haven,MI,coho_salmon,Coho salmon,grand_haven_mi/coho_salmon,numeric_retained,A,3,8.8,8.8,09-10,72,17,8.09,none,retain_no_numerical_change
grand_haven_mi,Grand Haven,MI,steelhead,Steelhead,grand_haven_mi/steelhead,numeric_retained,A,3,9.2,9.2,10-30,135,35,4.123,none,retain_no_numerical_change
grand_haven_mi,Grand Haven,MI,brown_trout,Brown trout,grand_haven_mi/brown_trout,numeric_retained,A,3,7.6,7.6,04-15,46,0,1.85,none,retain_no_numerical_change
manistee_mi,Manistee,MI,chinook_salmon,Chinook salmon,manistee_mi/chinook_salmon,numeric_retained,A,3,9.5,9.5,08-30,64,24,7.46,none,retain_no_numerical_change
manistee_mi,Manistee,MI,coho_salmon,Coho salmon,manistee_mi/coho_salmon,numeric_retained,A,3,8.2,8.2,10-05,41,4,6.562,none,retain_no_numerical_change
manistee_mi,Manistee,MI,steelhead,Steelhead,manistee_mi/steelhead,numeric_retained,A,3,10,10,10-28,79,30,4.453,none,retain_no_numerical_change
manistee_mi,Manistee,MI,brown_trout,Brown trout,manistee_mi/brown_trout,numeric_retained,A,3,8.2,8.2,04-10,55,6,1.939,none,retain_no_numerical_change
frankfort_elberta_mi,Frankfort,MI,chinook_salmon,Chinook salmon,frankfort_elberta_mi/chinook_salmon,numeric_retained,A,3,9.7,9.7,08-16,80,47,6.357,none,retain_no_numerical_change
frankfort_elberta_mi,Frankfort,MI,coho_salmon,Coho salmon,frankfort_elberta_mi/coho_salmon,numeric_retained,A,3,8.6,8.6,09-15,62,17,8.167,none,retain_no_numerical_change
frankfort_elberta_mi,Frankfort,MI,steelhead,Steelhead,frankfort_elberta_mi/steelhead,numeric_retained,A,3,9.8,9.8,10-16,85,29,5.346,none,retain_no_numerical_change
frankfort_elberta_mi,Frankfort,MI,brown_trout,Brown trout,frankfort_elberta_mi/brown_trout,numeric_retained,A,3,7.5,7.5,04-05,45,0,1.939,none,retain_no_numerical_change
sheboygan_wi,Sheboygan,WI,chinook_salmon,Chinook salmon,sheboygan_wi/chinook_salmon,numeric_retained,B,3,9.4,9.4,08-31,66,22,7.552,none,retain_no_numerical_change
sheboygan_wi,Sheboygan,WI,coho_salmon,Coho salmon,sheboygan_wi/coho_salmon,numeric_retained,B,3,8.2,8.2,04-15,111,6,6.769,none,retain_no_numerical_change
sheboygan_wi,Sheboygan,WI,steelhead,Steelhead,sheboygan_wi/steelhead,numeric_retained,B,3,7.8,7.8,07-15,95,0,4.236,none,retain_no_numerical_change
sheboygan_wi,Sheboygan,WI,brown_trout,Brown trout,sheboygan_wi/brown_trout,numeric_retained,B,3,7.8,7.8,04-15,50,0,4.155,none,retain_no_numerical_change
port_washington_wi,Port Washington,WI,chinook_salmon,Chinook salmon,port_washington_wi/chinook_salmon,numeric_retained,B,2,8.6,8.6,08-15,70,37,7.026,none,retain_no_numerical_change
port_washington_wi,Port Washington,WI,coho_salmon,Coho salmon,port_washington_wi/coho_salmon,numeric_retained,B,3,8.5,8.5,04-20,88,11,6.696,none,retain_no_numerical_change
port_washington_wi,Port Washington,WI,steelhead,Steelhead,port_washington_wi/steelhead,numeric_retained,B,2,6.6,6.6,04-15,29,0,1,none,retain_no_numerical_change
port_washington_wi,Port Washington,WI,brown_trout,Brown trout,port_washington_wi/brown_trout,numeric_retained,B,2,8.1,8.1,04-01,55,3,1,none,retain_no_numerical_change
milwaukee_wi,Milwaukee,WI,chinook_salmon,Chinook salmon,milwaukee_wi/chinook_salmon,numeric_retained,B,2,7.8,7.8,08-10,63,0,6.391,none,retain_no_numerical_change
milwaukee_wi,Milwaukee,WI,coho_salmon,Coho salmon,milwaukee_wi/coho_salmon,numeric_retained,B,3,8.2,8.2,05-20,81,4,7.3,none,retain_no_numerical_change
milwaukee_wi,Milwaukee,WI,steelhead,Steelhead,milwaukee_wi/steelhead,numeric_retained,B,2,5.8,5.8,04-15,0,0,1,none,retain_no_numerical_change
