species,region_key,month,water_type,state_code,column_range,column_baseline,pace_range,pace_baseline,primary_forage,secondary_forage,surface_seasonally_possible,primary_lure_ids,primary_fly_ids,excluded_lure_ids,excluded_fly_ids,notes
trout,alaska,1,freshwater_river,,bottom|mid,bottom,slow|medium,slow,leech_worm,baitfish,false,hair_jig|casting_spoon|inline_spinner|suspending_jerkbait|ned_rig|blade_bait,muddler_sculpin|rabbit_strip_leech|jighead_marabou_leech|lead_eye_leech|feather_jig_leech|sculpin_streamer|sculpzilla|articulated_dungeon_streamer|woolly_bugger|articulated_baitfish_streamer|bucktail_baitfish_streamer|clouser_minnow|conehead_streamer|game_changer|zonker_streamer|crawfish_streamer,,,"Migrated from v3 seasonal rows; secondary insect_misc→leech_worm for trout per §17.6."
trout,alaska,2,freshwater_river,,bottom|mid,bottom,slow|medium,slow,leech_worm,baitfish,false,hair_jig|casting_spoon|inline_spinner|suspending_jerkbait|ned_rig|blade_bait,muddler_sculpin|rabbit_strip_leech|jighead_marabou_leech|lead_eye_leech|feather_jig_leech|sculpin_streamer|sculpzilla|articulated_dungeon_streamer|woolly_bugger|articulated_baitfish_streamer|bucktail_baitfish_streamer|clouser_minnow|conehead_streamer|game_changer|zonker_streamer|crawfish_streamer,,,"Migrated from v3 seasonal rows; secondary insect_misc→leech_worm for trout per §17.6."
trout,alaska,3,freshwater_river,,bottom|mid,bottom,slow|medium,slow,leech_worm,baitfish,false,hair_jig|casting_spoon|inline_spinner|suspending_jerkbait|ned_rig|blade_bait,muddler_sculpin|rabbit_strip_leech|jighead_marabou_leech|lead_eye_leech|feather_jig_leech|sculpin_streamer|sculpzilla|articulated_dungeon_streamer|woolly_bugger|articulated_baitfish_streamer|bucktail_baitfish_streamer|clouser_minnow|conehead_streamer|game_changer|zonker_streamer|crawfish_streamer,,,"Migrated from v3 seasonal rows; secondary insect_misc→leech_worm for trout per §17.6."
trout,alaska,4,freshwater_river,,bottom|mid,bottom,slow|medium,slow,leech_worm,baitfish,false,hair_jig|casting_spoon|inline_spinner|suspending_jerkbait|ned_rig|blade_bait,muddler_sculpin|rabbit_strip_leech|jighead_marabou_leech|lead_eye_leech|feather_jig_leech|sculpin_streamer|sculpzilla|articulated_dungeon_streamer|woolly_bugger|articulated_baitfish_streamer|bucktail_baitfish_streamer|clouser_minnow|conehead_streamer|game_changer|zonker_streamer|crawfish_streamer,,,"Migrated from v3 seasonal rows; secondary insect_misc→leech_worm for trout per §17.6."
trout,alaska,5,freshwater_river,,bottom|mid|upper,mid,slow|medium|fast,medium,baitfish,leech_worm,false,hair_jig|casting_spoon|inline_spinner|suspending_jerkbait|ned_rig|soft_jerkbait,muddler_sculpin|rabbit_strip_leech|jighead_marabou_leech|lead_eye_leech|feather_jig_leech|sculpin_streamer|sculpzilla|articulated_dungeon_streamer|woolly_bugger|articulated_baitfish_streamer|bucktail_baitfish_streamer|clouser_minnow|conehead_streamer|game_changer|zonker_streamer|slim_minnow_streamer|unweighted_baitfish_streamer|baitfish_slider_fly,,,"Migrated from v3 seasonal rows; secondary insect_misc→leech_worm for trout per §17.6. G8 §15.1 PO-reviewed 2026-04-18: lure slot-0 gaps at postures=aggressive,neutral — §11 headline fallback may apply; not a G1 error."
trout,alaska,6,freshwater_river,,bottom|mid|upper|surface,mid,slow|medium|fast,medium,baitfish,leech_worm,true,hair_jig|casting_spoon|inline_spinner|suspending_jerkbait|ned_rig|soft_jerkbait|small_floating_trout_plug,muddler_sculpin|rabbit_strip_leech|jighead_marabou_leech|lead_eye_leech|feather_jig_leech|sculpin_streamer|sculpzilla|articulated_dungeon_streamer|woolly_bugger|articulated_baitfish_streamer|bucktail_baitfish_streamer|clouser_minnow|conehead_streamer|game_changer|zonker_streamer|slim_minnow_streamer|popper_fly|deer_hair_slider|mouse_fly|unweighted_baitfish_streamer|baitfish_slider_fly,,,"Migrated from v3 seasonal rows; secondary insect_misc→leech_worm for trout per §17.6. G8 §15.1 PO-reviewed 2026-04-18: lure slot-0 gaps at postures=aggressive,neutral — §11 headline fallback may apply; not a G1 error."
trout,alaska,7,freshwater_river,,bottom|mid|upper|surface,mid,slow|medium|fast,medium,baitfish,leech_worm,true,hair_jig|casting_spoon|inline_spinner|suspending_jerkbait|ned_rig|soft_jerkbait|small_floating_trout_plug,muddler_sculpin|rabbit_strip_leech|jighead_marabou_leech|lead_eye_leech|feather_jig_leech|sculpin_streamer|sculpzilla|articulated_dungeon_streamer|woolly_bugger|articulated_baitfish_streamer|bucktail_baitfish_streamer|clouser_minnow|conehead_streamer|game_changer|zonker_streamer|slim_minnow_streamer|popper_fly|deer_hair_slider|mouse_fly|unweighted_baitfish_streamer|baitfish_slider_fly,,,"Migrated from v3 seasonal rows; secondary insect_misc→leech_worm for trout per §17.6. G8 §15.1 PO-reviewed 2026-04-18: lure slot-0 gaps at postures=aggressive,neutral — §11 headline fallback may apply; not a G1 error."
trout,alaska,8,freshwater_river,,bottom|mid|upper|surface,mid,slow|medium|fast,medium,baitfish,leech_worm,true,hair_jig|casting_spoon|inline_spinner|suspending_jerkbait|ned_rig|soft_jerkbait|small_floating_trout_plug,muddler_sculpin|rabbit_strip_leech|jighead_marabou_leech|lead_eye_leech|feather_jig_leech|sculpin_streamer|sculpzilla|articulated_dungeon_streamer|woolly_bugger|articulated_baitfish_streamer|bucktail_baitfish_streamer|clouser_minnow|conehead_streamer|game_changer|zonker_streamer|slim_minnow_streamer|popper_fly|deer_hair_slider|mouse_fly|unweighted_baitfish_streamer|baitfish_slider_fly,,,"Migrated from v3 seasonal rows; secondary insect_misc→leech_worm for trout per §17.6."
trout,alaska,9,freshwater_river,,bottom|mid|upper,mid,slow|medium|fast,medium,baitfish,leech_worm,false,hair_jig|casting_spoon|inline_spinner|suspending_jerkbait|ned_rig|soft_jerkbait,muddler_sculpin|rabbit_strip_leech|jighead_marabou_leech|lead_eye_leech|feather_jig_leech|sculpin_streamer|sculpzilla|articulated_dungeon_streamer|woolly_bugger|articulated_baitfish_streamer|bucktail_baitfish_streamer|clouser_minnow|conehead_streamer|game_changer|zonker_streamer|slim_minnow_streamer|unweighted_baitfish_streamer|baitfish_slider_fly,,,"Migrated from v3 seasonal rows; secondary insect_misc→leech_worm for trout per §17.6. G8 §15.1 PO-reviewed 2026-04-18: fly slot-0 gaps at postures=suppressed — §11 headline fallback may apply; not a G1 error."
trout,alaska,10,freshwater_river,,bottom|mid,bottom,slow|medium,slow,baitfish,leech_worm,false,hair_jig|casting_spoon|inline_spinner|suspending_jerkbait|ned_rig|blade_bait,muddler_sculpin|rabbit_strip_leech|jighead_marabou_leech|lead_eye_leech|feather_jig_leech|sculpin_streamer|sculpzilla|articulated_dungeon_streamer|woolly_bugger|articulated_baitfish_streamer|bucktail_baitfish_streamer|clouser_minnow|conehead_streamer|game_changer|zonker_streamer|crawfish_streamer,,,"Migrated from v3 seasonal rows; secondary insect_misc→leech_worm for trout per §17.6. G8 §15.1 PO-reviewed 2026-04-18: fly slot-0 gaps at postures=suppressed — §11 headline fallback may apply; not a G1 error."
