cityId,cityName,stateCode,speciesId,speciesName,pairKey,disposition,peakF,catalogInheritance,limitation
ludington_mi,Ludington,MI,chinook_salmon,Chinook salmon,ludington_mi/chinook_salmon,numeric_retained,8.3,candidate,
ludington_mi,Ludington,MI,coho_salmon,Coho salmon,ludington_mi/coho_salmon,numeric_retained,5.6,candidate,
ludington_mi,Ludington,MI,atlantic_salmon,Atlantic salmon,ludington_mi/atlantic_salmon,unscored_no_numeric,,unresolved,Explicit Lake Huron schema review found no evidence supporting a roster change for this existing city.
ludington_mi,Ludington,MI,steelhead,Steelhead,ludington_mi/steelhead,numeric_retained,8.1,candidate,
ludington_mi,Ludington,MI,brown_trout,Brown trout,ludington_mi/brown_trout,numeric_retained,7.6,candidate,
ludington_mi,Ludington,MI,lake_trout,Lake trout,ludington_mi/lake_trout,numeric_retained,3.8,unresolved,"excluded: Scattered April/October port estimates do not establish a recurring intentional North Breakwater fishery. Offshore lake-trout abundance is inapplicable. Recent harbor and reef stocking is confirmed, but stocked numbers do not demonstrate a major adult pier target."
ludington_mi,Ludington,MI,freshwater_drum,Freshwater drum,ludington_mi/freshwater_drum,numeric_retained,5,historical_lead,"historical_unresolved: Port catches and July-August 2026 pier reports recur, but unspecified structures and mixed salmon-directed reporting do not demonstrate substantial intentional North Breakwater drum effort. Recent matched creel years are much weaker than the older summer record."
grand_haven_mi,Grand Haven,MI,chinook_salmon,Chinook salmon,grand_haven_mi/chinook_salmon,numeric_retained,7.8,candidate,
grand_haven_mi,Grand Haven,MI,coho_salmon,Coho salmon,grand_haven_mi/coho_salmon,numeric_retained,8.8,candidate,
grand_haven_mi,Grand Haven,MI,atlantic_salmon,Atlantic salmon,grand_haven_mi/atlantic_salmon,unscored_no_numeric,,unresolved,Explicit Lake Huron schema review found no evidence supporting a roster change for this existing city.
grand_haven_mi,Grand Haven,MI,steelhead,Steelhead,grand_haven_mi/steelhead,numeric_retained,9.2,candidate,
grand_haven_mi,Grand Haven,MI,brown_trout,Brown trout,grand_haven_mi/brown_trout,numeric_retained,7.6,candidate,
grand_haven_mi,Grand Haven,MI,lake_trout,Lake trout,grand_haven_mi/lake_trout,numeric_retained,3.6,unresolved,"excluded: Sparse cold-season port catches and offshore fisheries do not establish a repeatable major South Pier target. A grouped Grand Haven/Holland agency listing cannot identify the productive port, structure or mode."
grand_haven_mi,Grand Haven,MI,freshwater_drum,Freshwater drum,grand_haven_mi/freshwater_drum,numeric_retained,7.2,candidate,"Repeated directed pier/channel casting, including 2026 during North Pier closure, supports a provisional South Pier target. Side attribution is an explicit contextual inference, not a named agency station."
manistee_mi,Manistee,MI,chinook_salmon,Chinook salmon,manistee_mi/chinook_salmon,numeric_retained,9.5,candidate,
manistee_mi,Manistee,MI,coho_salmon,Coho salmon,manistee_mi/coho_salmon,numeric_retained,8.2,candidate,
manistee_mi,Manistee,MI,atlantic_salmon,Atlantic salmon,manistee_mi/atlantic_salmon,unscored_no_numeric,,unresolved,Explicit Lake Huron schema review found no evidence supporting a roster change for this existing city.
manistee_mi,Manistee,MI,steelhead,Steelhead,manistee_mi/steelhead,numeric_retained,10,candidate,
manistee_mi,Manistee,MI,brown_trout,Brown trout,manistee_mi/brown_trout,numeric_retained,8.2,candidate,
manistee_mi,Manistee,MI,lake_trout,Lake trout,manistee_mi/lake_trout,numeric_retained,4,candidate,"Explicit pier catches in April 2023 while the South Pier was closed, corroborated by another year and Pier/Dock evidence, support provisional North Pier attribution. Offshore summer catches are not transferred."
manistee_mi,Manistee,MI,freshwater_drum,Freshwater drum,manistee_mi/freshwater_drum,numeric_retained,4.7,candidate,Repeated agency pier catches and the dated June 2024 newspaper North Pier corroboration support provisional admission. The newspaper is not an independent catch event and its added side is not attributed to DNR.
frankfort_elberta_mi,Frankfort,MI,chinook_salmon,Chinook salmon,frankfort_elberta_mi/chinook_salmon,numeric_retained,9.7,candidate,Michigan DNR Pier/Dock estimates and direct breakwall reports establish shore reachability; the provisional magnitude remains subject to outcome validation.
frankfort_elberta_mi,Frankfort,MI,coho_salmon,Coho salmon,frankfort_elberta_mi/coho_salmon,numeric_retained,8.6,candidate,
frankfort_elberta_mi,Frankfort,MI,atlantic_salmon,Atlantic salmon,frankfort_elberta_mi/atlantic_salmon,unscored_no_numeric,,unresolved,Explicit Lake Huron schema review found no evidence supporting a roster change for this existing city.
frankfort_elberta_mi,Frankfort,MI,steelhead,Steelhead,frankfort_elberta_mi/steelhead,numeric_retained,9.8,candidate,
frankfort_elberta_mi,Frankfort,MI,brown_trout,Brown trout,frankfort_elberta_mi/brown_trout,numeric_retained,7.5,candidate,
frankfort_elberta_mi,Frankfort,MI,lake_trout,Lake trout,frankfort_elberta_mi/lake_trout,numeric_retained,4,unresolved,excluded: Sparse port-mode cold-season catches do not establish intentional fishing from either covered breakwater. Current reports place the productive lake-trout fishery offshore at depth. Point Betsie stocking is outside the two covered breakwaters.
frankfort_elberta_mi,Frankfort,MI,freshwater_drum,Freshwater drum,frankfort_elberta_mi/freshwater_drum,unscored_no_numeric,,unresolved,excluded: Sparse port catch estimates have no sufficient repeated exact-breakwater directed corroboration. Do not copy Grand Haven's channel drum fishery into Frankfort or Elberta.
sheboygan_wi,Sheboygan,WI,chinook_salmon,Chinook salmon,sheboygan_wi/chinook_salmon,numeric_retained,9.4,candidate,
sheboygan_wi,Sheboygan,WI,coho_salmon,Coho salmon,sheboygan_wi/coho_salmon,numeric_retained,8.2,candidate,Current local relevance plus repeated structure-specific historical records support the frozen provisional curve; contemporary Sheboygan-only monthly effort remains unavailable and is handled by the validation confidence gate.
sheboygan_wi,Sheboygan,WI,atlantic_salmon,Atlantic salmon,sheboygan_wi/atlantic_salmon,unscored_no_numeric,,unresolved,Explicit Lake Huron schema review found no evidence supporting a roster change for this existing city.
sheboygan_wi,Sheboygan,WI,steelhead,Steelhead,sheboygan_wi/steelhead,numeric_retained,7.8,candidate,
sheboygan_wi,Sheboygan,WI,brown_trout,Brown trout,sheboygan_wi/brown_trout,numeric_retained,7.8,candidate,
sheboygan_wi,Sheboygan,WI,lake_trout,Lake trout,sheboygan_wi/lake_trout,unscored_no_numeric,,unresolved,"excluded: Wisconsin's tiny regional pier harvest cannot be assigned to Sheboygan. The stocking summary explicitly puts lake trout offshore on Sheboygan Reef, not at either covered pier. Boat success and reef stocking do not establish pier catchability."
