port,mode,species,sampled_year_count,first_sampled_year,latest_sampled_year,positive_year_count,first_positive_year,latest_positive_year,positive_years,explicit_zero_years,note
"ALPENA","Pier/Dock","Atlantic Salmon","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Black Crappie","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Bluegill","6","2012","2022","1","2012","2012","2012","2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Brook Trout","4","2012","2021","0","","","","2012;2018;2019;2021","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Brown Trout","8","2003","2022","3","2003","2018","2003;2004;2018","2012;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Carp","4","2012","2022","0","","","","2012;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Channel Catfish","7","2012","2022","2","2012","2013","2012;2013","2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Chinook Salmon","8","2003","2022","2","2003","2007","2003;2007","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Coho Salmon","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Common White Sucker","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Drum","8","2012","2022","3","2012","2015","2012;2013;2015","2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Lake Herring","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Lake Whitefish","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Largemouth Bass","6","2012","2022","2","2012","2020","2012;2020","2018;2019;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Lean Lake Trout","7","2007","2022","1","2007","2007","2007","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Musky","5","2012","2021","0","","","","2012;2018;2019;2020;2021","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Northern Pike","10","2006","2022","5","2006","2015","2006;2007;2012;2014;2015","2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Other","8","2006","2022","2","2006","2008","2006;2008","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Pink Salmon","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Pumpkinseed","6","2012","2022","0","","","","2012;2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Rockbass","7","2008","2022","2","2008","2012","2008;2012","2018;2019;2020;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Round Whitefish","3","2012","2020","0","","","","2012;2018;2020","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
"ALPENA","Pier/Dock","Smallmouth Bass","14","2002","2022","10","2002","2020","2002;2004;2006;2007;2008;2012;2013;2014;2015;2020","2018;2019;2021;2022","Positive means annual sum of dashboard Catch or Harvest estimates exceeded zero; explicit zero means sampled Catch/Harvest rows existed and summed to zero. Missing years are neither."
