pair_key,city_id,city_name,species_id,species_name,pass1_disposition,pass2_disposition,evidence_grade,reason,next_evidence
pentwater_mi/lake_trout,pentwater_mi,Pentwater,lake_trout,Lake trout,research_candidate,research_hold_unscored,C,Only one positive catch year was resolved; stocking and one measured occurrence do not establish recurrence. No placeholder score is permitted.,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi/lake_whitefish,pentwater_mi,Pentwater,lake_whitefish,Lake whitefish,research_candidate,research_hold_unscored,C,One high 2012 catch stratum is exact but does not establish recurring annual opportunity. No placeholder score is permitted.,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi/round_whitefish,pentwater_mi,Pentwater,round_whitefish,Round whitefish,research_candidate,research_hold_unscored,C,One historical positive year does not establish recurrence or a full-year shape. No placeholder score is permitted.,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi/channel_catfish,pentwater_mi,Pentwater,channel_catfish,Channel catfish,research_candidate,research_hold_unscored,C,"Exact-channel reporting creates a lead, but the reviewed Pier/Dock catch series contains no positive catch row. No placeholder score is permitted.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi/largemouth_bass,pentwater_mi,Pentwater,largemouth_bass,Largemouth bass,research_candidate,research_hold_unscored,C,Two low positive years are insufficient to establish recurring intentional targeting. No placeholder score is permitted.,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi/atlantic_salmon,pentwater_mi,Pentwater,atlantic_salmon,Atlantic salmon,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
pentwater_mi/northern_pike,pentwater_mi,Pentwater,northern_pike,Northern pike,research_candidate,research_hold_unscored,C,The positive Pier/Dock record is confined to one year and regional stocking cannot fill the recurrence gap. No placeholder score is permitted.,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi/burbot,pentwater_mi,Pentwater,burbot,Burbot,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
pentwater_mi/white_perch,pentwater_mi,Pentwater,white_perch,White perch,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
pentwater_mi/white_bass,pentwater_mi,Pentwater,white_bass,White bass,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
rogers_city_mi/coho_salmon,rogers_city_mi,Rogers City,coho_salmon,Coho salmon,hold,research_hold_unscored,C,Current records remain primarily boat/offshore and no positive Pier/Dock catch row resolves the covered-structure fishery. No placeholder score is permitted.,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
rogers_city_mi/freshwater_drum,rogers_city_mi,Rogers City,freshwater_drum,Freshwater drum,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
rogers_city_mi/yellow_perch,rogers_city_mi,Rogers City,yellow_perch,Yellow perch,research_candidate,research_hold_unscored,C,"One positive year, despite high episodic magnitude, cannot establish recurring opportunity. No placeholder score is permitted.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
rogers_city_mi/lake_whitefish,rogers_city_mi,Rogers City,lake_whitefish,Lake whitefish,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
rogers_city_mi/round_whitefish,rogers_city_mi,Rogers City,round_whitefish,Round whitefish,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
rogers_city_mi/channel_catfish,rogers_city_mi,Rogers City,channel_catfish,Channel catfish,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
rogers_city_mi/largemouth_bass,rogers_city_mi,Rogers City,largemouth_bass,Largemouth bass,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. All 5 target-county stocking records (1979-2020) are classified regional-only and do not establish the target-city structure fishery.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
rogers_city_mi/northern_pike,rogers_city_mi,Rogers City,northern_pike,Northern pike,research_candidate,research_hold_unscored,C,Two positive years remain too sparse for a defensible recurring full-year calibration. No placeholder score is permitted.,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
rogers_city_mi/burbot,rogers_city_mi,Rogers City,burbot,Burbot,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
rogers_city_mi/white_perch,rogers_city_mi,Rogers City,white_perch,White perch,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
rogers_city_mi/white_bass,rogers_city_mi,Rogers City,white_bass,White bass,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
tawas_city_mi/chinook_salmon,tawas_city_mi,Tawas City,chinook_salmon,Chinook salmon,hold,research_hold_unscored,C,Historical stocking and mixed current occurrence do not resolve present recurring covered-structure targeting. No placeholder score is permitted.,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
tawas_city_mi/brown_trout,tawas_city_mi,Tawas City,brown_trout,Brown trout,hold,research_hold_unscored,C,Historical exact-area stocking ended and current exact-pier recurrence remains unresolved. No placeholder score is permitted.,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
tawas_city_mi/freshwater_drum,tawas_city_mi,Tawas City,freshwater_drum,Freshwater drum,hold,research_hold_unscored,C,A connected-river report establishes occurrence but not recurring intentional pier targeting. No placeholder score is permitted.,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
tawas_city_mi/round_whitefish,tawas_city_mi,Tawas City,round_whitefish,Round whitefish,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
tawas_city_mi/channel_catfish,tawas_city_mi,Tawas City,channel_catfish,Channel catfish,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. All 7 target-county stocking records (1997-2016) are classified regional-only and do not establish the target-city structure fishery.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
tawas_city_mi/largemouth_bass,tawas_city_mi,Tawas City,largemouth_bass,Largemouth bass,research_candidate,research_hold_unscored,C,"The current agency location inventory creates a credible city lead, but no species-resolved recurring covered-shore record supports a numeric magnitude or annual shape. No placeholder score is permitted.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
tawas_city_mi/atlantic_salmon,tawas_city_mi,Tawas City,atlantic_salmon,Atlantic salmon,research_candidate,research_hold_unscored,C,"The current agency location inventory and regional program establish local occurrence, but the reviewed records remain mode-mixed or offshore and do not establish recurring covered-structure targeting. No placeholder score is permitted.",Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
tawas_city_mi/white_perch,tawas_city_mi,Tawas City,white_perch,White perch,exclude,exclude_unscored,D,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review.",Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
