pair_key,city_id,species_id,pass1_decision,pass2_disposition,evidence_grade,audited_peak,outcome,weaker_or_equal_anchor,stronger_or_equal_anchor,finding
st_joseph_mi/chinook_salmon,st_joseph_mi,chinook_salmon,research_candidate,numeric_private,B,6.8,admitted_private_numeric,Harrisville 6.6,Chicago 7,"The current DNR pier inventory and southern-port roadmap establish recurring spring/summer pier opportunity. With no resolved St. Joseph dashboard row, the peak is placed below Chicago 7.0 and above Muskegon 6.5; missing port estimates remain a confidence limitation only."
st_joseph_mi/coho_salmon,st_joseph_mi,coho_salmon,research_candidate,numeric_private,B,8.6,admitted_private_numeric,Frankfort–Elberta 8.6,Frankfort–Elberta 8.6,DNR explicitly calls the St. Joseph spring fishery excellent and pier fishing often good. That exact-city qualitative magnitude supports the Frankfort/Kenosha 8.6 tier below Grand Haven/Waukegan 8.8.
st_joseph_mi/steelhead,st_joseph_mi,steelhead,research_candidate,numeric_private,B,7.8,admitted_private_numeric,Kewaunee 7.8,Kewaunee 7.8,Current exact-pier inventory and year-round southern-port seasonal guidance establish a strong multi-window fishery. The value matches the corrected Kewaunee/Sheboygan tier and remains below Ludington 8.1.
st_joseph_mi/brown_trout,st_joseph_mi,brown_trout,research_candidate,numeric_private,B,6.5,admitted_private_numeric,South Haven 6.5,South Haven 6.5,"DNR and Berrien County both name brown trout at the pier, with winter/spring port timing. The ordinary-to-strong placement is just above Kenosha 6.4 and below Waukegan 7.0."
st_joseph_mi/lake_trout,st_joseph_mi,lake_trout,research_candidate,numeric_private,B,4.1,admitted_private_numeric,Frankfort–Elberta 4,Kewaunee 4.2,"DNR explicitly identifies St. Joseph Pier and the port roadmap supplies cold-season timing. Without a resolved direct estimate, the ordinary peak is bracketed by the 4.0 Michigan breakwater cohort and Kewaunee 4.2."
st_joseph_mi/walleye,st_joseph_mi,walleye,hold,research_hold_unscored,C,,retained_unscored,,,Connected-river and port-level leads remain insufficient to establish recurring intentional fishing at either covered pierhead. No placeholder score is permitted.
st_joseph_mi/smallmouth_bass,st_joseph_mi,smallmouth_bass,hold,research_hold_unscored,C,,retained_unscored,,,Connected-water occurrence remains separated from the pierheads; no recurring exact-pier magnitude or annual shape was found. No placeholder score is permitted.
st_joseph_mi/freshwater_drum,st_joseph_mi,freshwater_drum,hold,research_hold_unscored,C,,retained_unscored,,,"The port roadmap creates a seasonal lead, but no resolved St. Joseph Pier/Dock series or exact-pier magnitude supports admission. No placeholder score is permitted."
st_joseph_mi/yellow_perch,st_joseph_mi,yellow_perch,research_candidate,numeric_private,B,6,admitted_private_numeric,South Haven 5.4,Michigan City 6.2,"DNR identifies the pier and Berrien County independently names lake perch at South Pier. The lack of a resolvable quantitative row keeps confidence at B, while the exact target identity supports a moderate ceiling above Muskegon and Port Sanilac."
st_joseph_mi/lake_whitefish,st_joseph_mi,lake_whitefish,research_candidate,numeric_private,B,4,admitted_private_numeric,Grand Haven 4,Grand Haven 4,Current DNR exact-pier identification supports an intentional cold-season fishery. No lawful-method magnitude series supports exceeding the established 4.0 Lake Michigan pier anchor.
st_joseph_mi/round_whitefish,st_joseph_mi,round_whitefish,hold,research_hold_unscored,C,,retained_unscored,,,"Generic county 'whitefish' language cannot be converted to round whitefish, and no exact-pier recurring record was found. No placeholder score is permitted."
st_joseph_mi/channel_catfish,st_joseph_mi,channel_catfish,hold,research_hold_unscored,C,,retained_unscored,,,Generic county 'catfish' and connected-river evidence do not identify channel catfish as a recurring pierhead target. No placeholder score is permitted.
st_joseph_mi/largemouth_bass,st_joseph_mi,largemouth_bass,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
st_joseph_mi/atlantic_salmon,st_joseph_mi,atlantic_salmon,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
st_joseph_mi/northern_pike,st_joseph_mi,northern_pike,hold,research_hold_unscored,C,,retained_unscored,,,Plausible connected-harbor occurrence remains unallocated to the two covered pierheads. No placeholder score is permitted.
st_joseph_mi/burbot,st_joseph_mi,burbot,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
st_joseph_mi/white_perch,st_joseph_mi,white_perch,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
st_joseph_mi/white_bass,st_joseph_mi,white_bass,exclude,exclude_unscored,D,,retained_unscored,,,"Pass 2 reopened this cell and found no new covered-structure evidence sufficient to change the Pass 1 exclusion. The reviewed record did not establish recurring intentional opportunity at the covered structure. This is an evidence disposition, not biological absence."
st_joseph_mi/bluegill,st_joseph_mi,bluegill,exclude,exclude_unscored,D,,excluded_by_product_policy,,,"Product policy exclusion: bluegill is not a user-facing PierCast species. Biological evidence is retained for audit history, but no numeric calibration or mode is created."
south_haven_mi/chinook_salmon,south_haven_mi,chinook_salmon,research_candidate,numeric_private,A,7,admitted_private_numeric,Chicago 7,Chicago 7,"Twenty-two positive Pier/Dock catch years establish recurrence. Modern and recent strength is above Muskegon but materially below elite staging ports, supporting Chicago's 7.0 tier."
south_haven_mi/coho_salmon,south_haven_mi,coho_salmon,research_candidate,numeric_private,A,7.8,admitted_private_numeric,Whitehall 7.4,Chicago 8.2,"Twenty positive catch years and about 35 catch per 1,000 matched all-species hours in the recent period support a strong spring ceiling above Whitehall 7.4 and below the 8.2 cohort."
south_haven_mi/steelhead,south_haven_mi,steelhead,research_candidate,numeric_private,A,8.8,admitted_private_numeric,Lexington 8.8,Lexington 8.8,"Twenty-three positive catch years, strong modern magnitude, and distinct summer and fall peaks support an excellent ceiling below Grand Haven 9.2 and above Whitehall 8.7."
south_haven_mi/brown_trout,south_haven_mi,brown_trout,research_candidate,numeric_private,A,6.5,admitted_private_numeric,St. Joseph 6.5,St. Joseph 6.5,"Twenty-one positive catch years establish recurrence, while measured modern and recent decline places the peak above Kenosha 6.4 but below Muskegon/Waukegan 7.0."
south_haven_mi/lake_trout,south_haven_mi,lake_trout,research_candidate,numeric_private,A,3.8,admitted_private_numeric,Holland 3.8,Holland 3.8,Seven positive Catch years with low full and recent matched-effort magnitude support a limited but recurring pier fishery equal to Ludington and above Grand Haven.
south_haven_mi/walleye,south_haven_mi,walleye,research_candidate,numeric_private,A,4.3,admitted_private_numeric,Manistee 4.2,Frankfort–Elberta 4.5,Six positive catch years establish a real but low-magnitude pier fishery. Modern and recent matched-effort catch remains below Frankfort 4.5 and the stronger Lake Huron ports.
south_haven_mi/smallmouth_bass,south_haven_mi,smallmouth_bass,research_candidate,numeric_private,A,5.2,admitted_private_numeric,Holland 5.2,Holland 5.2,Eleven positive catch years and recurring warm-season rows support an ordinary fishery below Port Sanilac 5.4 and above Manistee 5.0.
