date,stage,daily_score,daily_label,temp_f,flow_cfs,flow_band,spread,05_09,09_13,13_17,17_21,cloud_05_09,cloud_09_13,cloud_13_17,cloud_17_21,best_block,headline,detail,tip
"2021-08-25","pre_run","27","Reserved","65.8","580","ideal","6","28","23","22","28","90","34","20","93","05-09","Today’s Coho activity outlook is reserved.","Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Coho that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2021-08-30","pre_run","19","Inactive","69.4","929","high_fishable","1","19","18","18","19","0","4","6","14","05-09","Today’s Coho activity outlook is inactive.","Conditions provide little environmental support for an aggressive response. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Dependable river presence has not begun. The score applies only to a sparse early Coho that may already have entered. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2021-09-01","beginning","24","Reserved","64.8","904","high_fishable","2","24","22","22","24","0","2","10","7","05-09","Today’s Coho activity outlook is reserved.","Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. Early lake-fresh Coho can remain reactive when measured water temperatures are suitable; this score applies only to fish already in the river. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2021-09-05","beginning","74","Active","60.1","611","ideal","14","77","65","64","78","2","10","18","29","17-21","Today’s Coho activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Early lake-fresh Coho can remain reactive when measured water temperatures are suitable; this score applies only to fish already in the river. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2021-09-06","beginning","76","Active","60.8","597","ideal","18","75","65","68","83","15","32","52","77","17-21","Today’s Coho activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Early lake-fresh Coho can remain reactive when measured water temperatures are suitable; this score applies only to fish already in the river. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2021-09-10","beginning","78","Active","58.6","612","ideal","14","78","69","74","83","22","37","58","68","17-21","Today’s Coho activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Early lake-fresh Coho can remain reactive when measured water temperatures are suitable; this score applies only to fish already in the river. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2021-09-13","beginning","90","Highly active","59.5","593","ideal","3","87","89","90","90","87","93","93","100","13-17","Today’s Coho activity outlook is highly active.","Conditions strongly favor a response from Coho that are present and capable of reacting. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Early lake-fresh Coho can remain reactive when measured water temperatures are suitable; this score applies only to fish already in the river. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 1–5 PM. If the sky changes from the forecast, favor the darkest practical window."
"2021-09-25","building","81","Highly active","55.8","591","ideal","24","91","70","67","78","100","40","34","31","05-09","Today’s Coho activity outlook is highly active.","Conditions strongly favor a response from Coho that are present and capable of reacting. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. More Coho are entering and settling into the river; measured water temperature matters, but this score describes reaction conditions rather than movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2021-09-28","building","72","Active","56.7","583","ideal","14","76","63","62","75","0","0","5","0","05-09","Today’s Coho activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. More Coho are entering and settling into the river; measured water temperature matters, but this score describes reaction conditions rather than movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2021-10-01","building","73","Active","55.6","571","ideal","14","76","63","62","76","0","1","0","19","05-09","Today’s Coho activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. More Coho are entering and settling into the river; measured water temperature matters, but this score describes reaction conditions rather than movement or abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2021-10-13","peak","90","Highly active","60.1","627","ideal","13","91","93","80","90","100","100","76","100","09-13","Today’s Coho activity outlook is highly active.","Conditions strongly favor a response from Coho that are present and capable of reacting. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Broad seasonal presence can make fish easier to locate, but this score measures the responsiveness of Coho already present rather than their abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 9 AM–1 PM. If the sky changes from the forecast, favor the darkest practical window."
"2021-10-14","peak","89","Highly active","59.9","636","ideal","17","93","92","80","76","100","100","75","2","05-09","Today’s Coho activity outlook is highly active.","Conditions strongly favor a response from Coho that are present and capable of reacting. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Broad seasonal presence can make fish easier to locate, but this score measures the responsiveness of Coho already present rather than their abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
"2021-10-15","peak","88","Highly active","56.7","637","ideal","20","78","75","89","95","13","58","96","100","17-21","Today’s Coho activity outlook is highly active.","Conditions strongly favor a response from Coho that are present and capable of reacting. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Broad seasonal presence can make fish easier to locate, but this score measures the responsiveness of Coho already present rather than their abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2021-10-16","peak","87","Highly active","54","633","ideal","21","79","70","91","90","25","38","98","94","13-17","Today’s Coho activity outlook is highly active.","Conditions strongly favor a response from Coho that are present and capable of reacting. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Broad seasonal presence can make fish easier to locate, but this score measures the responsiveness of Coho already present rather than their abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 1–5 PM. If the sky changes from the forecast, favor the darkest practical window."
"2021-11-04","peak","79","Active","43.3","611","ideal","22","77","64","86","77","34","27","95","43","13-17","Today’s Coho activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Broad seasonal presence can make fish easier to locate, but this score measures the responsiveness of Coho already present rather than their abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 1–5 PM. If the sky changes from the forecast, favor the darkest practical window."
"2021-11-05","peak","84","Highly active","43.2","609","ideal","16","80","72","85","88","57","59","93","100","17-21","Today’s Coho activity outlook is highly active.","Conditions strongly favor a response from Coho that are present and capable of reacting. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Broad seasonal presence can make fish easier to locate, but this score measures the responsiveness of Coho already present rather than their abundance. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
"2021-11-06","tapering","76","Active","43.9","607","ideal","29","88","65","59","73","100","36","1","2","05-09","Today’s Coho activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. This score represents a Coho of unknown condition at this point in the season. A newly arrived or fresher fish may be more active than this score, while a spawning or deteriorating fish may be less responsive. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Compare the four time windows, but treat every difference as conditional on finding a living Coho still capable of responding."
"2021-11-10","tapering","84","Highly active","45.5","605","ideal","13","73","86","86","86","24","100","100","100","09-13","Today’s Coho activity outlook is highly active.","Conditions strongly favor a response from Coho that are present and capable of reacting. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. This score represents a Coho of unknown condition at this point in the season. A newly arrived or fresher fish may be more active than this score, while a spawning or deteriorating fish may be less responsive. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Compare the four time windows, but treat every difference as conditional on finding a living Coho still capable of responding."
"2021-11-20","tapering","70","Active","41.7","641","ideal","3","70","70","70","67","100","100","100","89","05-09","Today’s Coho activity outlook is active.","Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. This score represents a Coho of unknown condition at this point in the season. A newly arrived or fresher fish may be more active than this score, while a spawning or deteriorating fish may be less responsive. This read uses a current river level, measured water temperature, and the hourly weather outlook.","Compare the four time windows, but treat every difference as conditional on finding a living Coho still capable of responding."
"2021-12-05","post_run","35","Reserved","39","644","ideal","1","35","35","35","34","100","100","100","100","05-09","Today’s Coho activity outlook is reserved.","Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Water temperature limits responsiveness. This score represents a remaining Coho of unknown condition late in the season. A newly arrived or fresher fish may be more active than this score, while a spent or deteriorating fish may respond less or not at all. This read uses a current river level, measured water temperature, and the hourly weather outlook.","No late-season window should be treated as broadly favorable; use the block scores only for a living Coho that is still capable of reacting."
