pairKey,evidenceGrade,modeCount,maximumFisheryStrength,modernCatchEstimate,modernMatchedHours,modernCatchPer1000AllSpeciesHours,modernPositiveStrata,modernMatchedStrata,regulationClosureDays
"ludington_mi/lake_trout","B",2,3.8,28,17413,1.608,4,20,0
"ludington_mi/smallmouth_bass","B",1,5.8,874,43814,19.948,19,45,0
"ludington_mi/freshwater_drum","B",1,5,1022,40613,25.1644,11,42,0
"ludington_mi/yellow_perch","A",2,7.6,26953,39685,679.1735,17,42,0
"grand_haven_mi/lake_trout","B",2,3.6,155,79937,1.939,3,21,0
"grand_haven_mi/smallmouth_bass","B",1,7,2016,204724,9.8474,23,48,0
"grand_haven_mi/freshwater_drum","A",1,7.2,18252,246982,73.9001,43,57,0
"grand_haven_mi/yellow_perch","A",2,7.2,39443,278435,141.6596,41,61,0
"grand_haven_mi/round_whitefish","B",1,3.8,350,143435,2.4401,9,42,0
"grand_haven_mi/channel_catfish","A",1,6.8,4375,241162,18.1413,47,59,0
"grand_haven_mi/largemouth_bass","A",1,7.4,4832,191757,25.1986,26,46,0
"manistee_mi/lake_trout","B",2,4,66,30486,2.1649,5,21,0
"manistee_mi/walleye","B",1,4.2,112,50250,2.2289,5,40,0
"manistee_mi/smallmouth_bass","B",1,5,1077,59300,18.1619,19,46,0
"manistee_mi/freshwater_drum","B",1,4.7,669,54996,12.1645,13,44,0
"manistee_mi/yellow_perch","A",2,7.2,36245,65869,550.2588,25,47,0
"manistee_mi/round_whitefish","B",1,4.1,314,56843,5.524,9,42,0
"frankfort_elberta_mi/lake_trout","B",2,4,64,15515,4.125,3,19,0
"racine_wi/yellow_perch","B",1,4.8,"","","","","",46
"kenosha_wi/yellow_perch","B",1,5.4,"","","","","",46
