priority,cityId,cityName,speciesId,speciesName,evidenceGrade,legacyNumericCurveRetired,blockingDimensions,evidenceNeeded,reopeningRule,evidenceIds
P2,ludington_mi,Ludington,walleye,Walleye,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_3176352|B_14ccdb0
P0,ludington_mi,Ludington,smallmouth_bass,Smallmouth Bass,C,true,local_effort|covered_structure_or_mode|adult_pier_thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_2e736eb|B_364ea3a|B_3eeac7b|B_425abbc|B_41407c5|B_2d7cf51
P2,ludington_mi,Ludington,freshwater_drum,Freshwater Drum,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_421929e|B_423b34d
P0,ludington_mi,Ludington,yellow_perch,Yellow Perch,C,true,local_effort|covered_structure_or_mode|adult_pier_thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_323f6bf|B_35ed629|B_3614332|B_364ea3a|B_3675eed
P2,ludington_mi,Ludington,round_whitefish,Round Whitefish,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|ROUND_DECLINE
P2,grand_haven_mi,Grand Haven,smallmouth_bass,Smallmouth Bass,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_207cdc1|B_3ebb776|B_425abbc|B_3e9b7f3
P0,grand_haven_mi,Grand Haven,freshwater_drum,Freshwater Drum,C,true,local_effort|covered_structure_or_mode|adult_pier_thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_3588f66|B_3614332|B_36281c5|B_3a65224|B_41a3a94|B_41b62ae|B_41c718b|B_41e9e6e|B_4280cb4
P2,grand_haven_mi,Grand Haven,yellow_perch,Yellow Perch,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|MI_2025
P2,grand_haven_mi,Grand Haven,lake_whitefish,Lake Whitefish,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|WHITEFISH_GEAR|MI_REGS_2026|B_3c05a1b
P2,grand_haven_mi,Grand Haven,round_whitefish,Round Whitefish,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_2cce8db|B_2cea412|ROUND_DECLINE
P2,grand_haven_mi,Grand Haven,channel_catfish,Channel Catfish,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_3588f66|B_14ccdb0
P0,grand_haven_mi,Grand Haven,largemouth_bass,Largemouth Bass,C,true,local_effort|covered_structure_or_mode|adult_pier_thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_207cdc1|B_3e9b7f3|B_3eeac7b|B_426de2b
P0,manistee_mi,Manistee,lake_trout,Lake Trout,C,true,local_effort|covered_structure_or_mode|adult_pier_thermal_response,"Reopen only with repeated current exact-covered-structure intentional targeting, species identification and catch/effort evidence.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_3155afc|B_3548e2b|B_39595be|MI_STOCKING
P2,manistee_mi,Manistee,walleye,Walleye,C,false,local_recurrence|seasonal_magnitude|covered_structure_or_mode|thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_3176352|B_3588f66|B_3987c22|B_14ccdb0
P0,manistee_mi,Manistee,smallmouth_bass,Smallmouth Bass,C,true,local_effort|covered_structure_or_mode|adult_pier_thermal_response,"Resolve exact-structure directed catch and effort across seasons/years, lawful methods, relative magnitude against the frozen core scale, and applicable thermal response before numeric onboarding.","Reopen only when the missing evidence is archived, normalized in the claim ledger, reviewed across all nine cities for this species, and passes the Grade A/B numeric gate.",MI_CREEL|B_366250d|B_3675eed|B_3a65224|B_3abfd6e
