city_id,species_id,month,season_evidence_state,roster_research_status,evidence_ids,limitations,researched_at,production_ready
ludington,steelhead,1,unresolved,priority,,November corroborated in 2025; December historical; January-February unresolved,2026-09-09,false
ludington,steelhead,2,unresolved,priority,,November corroborated in 2025; December historical; January-February unresolved,2026-09-09,false
ludington,steelhead,3,inferred_review_window,priority,F1 F2; F3 F33; F4,November corroborated in 2025; December historical; January-February unresolved,2026-09-09,false
ludington,steelhead,4,reported_occurrence,priority,F1 F2,November corroborated in 2025; December historical; January-February unresolved,2026-09-09,false
ludington,steelhead,5,inferred_review_window,priority,F1 F2; F3 F33; F4,November corroborated in 2025; December historical; January-February unresolved,2026-09-09,false
ludington,steelhead,6,unresolved,priority,,November corroborated in 2025; December historical; January-February unresolved,2026-09-09,false
ludington,steelhead,7,unresolved,priority,,November corroborated in 2025; December historical; January-February unresolved,2026-09-09,false
ludington,steelhead,8,unresolved,priority,,November corroborated in 2025; December historical; January-February unresolved,2026-09-09,false
ludington,steelhead,9,unresolved,priority,,November corroborated in 2025; December historical; January-February unresolved,2026-09-09,false
ludington,steelhead,10,inferred_review_window,priority,F1 F2; F3 F33; F4,November corroborated in 2025; December historical; January-February unresolved,2026-09-09,false
ludington,steelhead,11,reported_occurrence,priority,F3 F33 F35,November corroborated in 2025; December historical; January-February unresolved,2026-09-09,false
ludington,steelhead,12,reported_occurrence,priority,F4,November corroborated in 2025; December historical; January-February unresolved,2026-09-09,false
ludington,brown_trout,1,unresolved,priority,,Spring; pier sides unresolved,2026-09-09,false
ludington,brown_trout,2,unresolved,priority,,Spring; pier sides unresolved,2026-09-09,false
ludington,brown_trout,3,inferred_review_window,priority,F1 F2,Spring; pier sides unresolved,2026-09-09,false
ludington,brown_trout,4,reported_occurrence,priority,F1 F2 F39,Spring; pier sides unresolved,2026-09-09,false
ludington,brown_trout,5,inferred_review_window,priority,F1 F2,Spring; pier sides unresolved,2026-09-09,false
ludington,brown_trout,6,unresolved,priority,,Spring; pier sides unresolved,2026-09-09,false
ludington,brown_trout,7,unresolved,priority,,Spring; pier sides unresolved,2026-09-09,false
ludington,brown_trout,8,unresolved,priority,,Spring; pier sides unresolved,2026-09-09,false
ludington,brown_trout,9,unresolved,priority,,Spring; pier sides unresolved,2026-09-09,false
ludington,brown_trout,10,unresolved,priority,,Spring; pier sides unresolved,2026-09-09,false
ludington,brown_trout,11,unresolved,priority,,Spring; pier sides unresolved,2026-09-09,false
ludington,brown_trout,12,unresolved,priority,,Spring; pier sides unresolved,2026-09-09,false
ludington,chinook_salmon,1,unresolved,priority,,Feeding and staging contexts,2026-09-09,false
ludington,chinook_salmon,2,unresolved,priority,,Feeding and staging contexts,2026-09-09,false
ludington,chinook_salmon,3,unresolved,priority,,Feeding and staging contexts,2026-09-09,false
ludington,chinook_salmon,4,unresolved,priority,,Feeding and staging contexts,2026-09-09,false
ludington,chinook_salmon,5,inferred_review_window,priority,F5; F6 F10,Feeding and staging contexts,2026-09-09,false
ludington,chinook_salmon,6,reported_occurrence,priority,F5,Feeding and staging contexts,2026-09-09,false
ludington,chinook_salmon,7,unresolved,priority,,Feeding and staging contexts,2026-09-09,false
ludington,chinook_salmon,8,inferred_review_window,priority,F5; F6 F10,Feeding and staging contexts,2026-09-09,false
ludington,chinook_salmon,9,reported_occurrence,priority,F6 F10,Feeding and staging contexts,2026-09-09,false
ludington,chinook_salmon,10,unresolved,priority,,Feeding and staging contexts,2026-09-09,false
ludington,chinook_salmon,11,unresolved,priority,,Feeding and staging contexts,2026-09-09,false
ludington,chinook_salmon,12,unresolved,priority,,Feeding and staging contexts,2026-09-09,false
ludington,coho_salmon,1,unresolved,priority,,Fall evidence historical; recent recurrence needed,2026-09-09,false
ludington,coho_salmon,2,unresolved,priority,,Fall evidence historical; recent recurrence needed,2026-09-09,false
ludington,coho_salmon,3,inferred_review_window,priority,F2; F33; F7; F9,Fall evidence historical; recent recurrence needed,2026-09-09,false
ludington,coho_salmon,4,reported_occurrence,priority,F2,Fall evidence historical; recent recurrence needed,2026-09-09,false
ludington,coho_salmon,5,reported_occurrence,priority,F9,Fall evidence historical; recent recurrence needed,2026-09-09,false
ludington,coho_salmon,6,unresolved,priority,,Fall evidence historical; recent recurrence needed,2026-09-09,false
ludington,coho_salmon,7,unresolved,priority,,Fall evidence historical; recent recurrence needed,2026-09-09,false
ludington,coho_salmon,8,unresolved,priority,,Fall evidence historical; recent recurrence needed,2026-09-09,false
ludington,coho_salmon,9,reported_occurrence,priority,F7,Fall evidence historical; recent recurrence needed,2026-09-09,false
ludington,coho_salmon,10,inferred_review_window,priority,F2; F33; F7; F9,Fall evidence historical; recent recurrence needed,2026-09-09,false
ludington,coho_salmon,11,reported_occurrence,priority,F33,Fall evidence historical; recent recurrence needed,2026-09-09,false
ludington,coho_salmon,12,unresolved,priority,,Fall evidence historical; recent recurrence needed,2026-09-09,false
ludington,smallmouth_bass,1,unresolved,priority_scope_pending,,Stub/harbor pier scope; exact stub identity pending,2026-09-09,false
ludington,smallmouth_bass,2,unresolved,priority_scope_pending,,Stub/harbor pier scope; exact stub identity pending,2026-09-09,false
ludington,smallmouth_bass,3,unresolved,priority_scope_pending,,Stub/harbor pier scope; exact stub identity pending,2026-09-09,false
ludington,smallmouth_bass,4,reported_occurrence,priority_scope_pending,F8,Stub/harbor pier scope; exact stub identity pending,2026-09-09,false
ludington,smallmouth_bass,5,reported_occurrence,priority_scope_pending,F9,Stub/harbor pier scope; exact stub identity pending,2026-09-09,false
ludington,smallmouth_bass,6,inferred_review_window,priority_scope_pending,F11; F8; F9,Stub/harbor pier scope; exact stub identity pending,2026-09-09,false
ludington,smallmouth_bass,7,reported_occurrence,priority_scope_pending,F11,Stub/harbor pier scope; exact stub identity pending,2026-09-09,false
ludington,smallmouth_bass,8,inferred_review_window,priority_scope_pending,F11; F8; F9,Stub/harbor pier scope; exact stub identity pending,2026-09-09,false
ludington,smallmouth_bass,9,inferred_review_window,priority_scope_pending,F11; F8; F9,Stub/harbor pier scope; exact stub identity pending,2026-09-09,false
ludington,smallmouth_bass,10,unresolved,priority_scope_pending,,Stub/harbor pier scope; exact stub identity pending,2026-09-09,false
ludington,smallmouth_bass,11,unresolved,priority_scope_pending,,Stub/harbor pier scope; exact stub identity pending,2026-09-09,false
ludington,smallmouth_bass,12,unresolved,priority_scope_pending,,Stub/harbor pier scope; exact stub identity pending,2026-09-09,false
ludington,freshwater_drum,1,unresolved,priority,,Warm-season expansion inferred,2026-09-09,false
ludington,freshwater_drum,2,unresolved,priority,,Warm-season expansion inferred,2026-09-09,false
ludington,freshwater_drum,3,unresolved,priority,,Warm-season expansion inferred,2026-09-09,false
