date,stage,daily_score,daily_label,temp_f,flow_cfs,flow_band,spread,05_09,09_13,13_17,17_21,best_block,headline,detail,tip
2018-08-30,pre_run,21,Reserved,,1450,blown_out,1,21,22,21,21,09-13,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 9 AM–1 PM. If the sky changes from the forecast, favor the darkest practical window."
2021-09-04,pre_run,22,Reserved,,1340,blown_out,1,22,22,22,21,05-09,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2013-08-26,pre_run,35,Reserved,,32.7,very_low,5,37,36,32,32,05-09,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2013-08-31,pre_run,40,Moderate,,37,very_low,6,41,41,39,35,05-09,Today’s Chinook activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2023-08-30,pre_run,45,Moderate,,51.1,low,12,44,49,37,43,09-13,Today’s Chinook activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 9 AM–1 PM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 9 AM–1 PM. If the sky changes from the forecast, favor the darkest practical window."
2022-09-02,pre_run,46,Moderate,,54.5,low,5,46,45,48,43,13-17,Today’s Chinook activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 1–5 PM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 1–5 PM. If the sky changes from the forecast, favor the darkest practical window."
2021-08-27,pre_run,50,Moderate,,555,high_fishable,2,50,50,48,48,05-09,Today’s Chinook activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2024-09-03,pre_run,54,Moderate,,178,ideal,9,58,50,49,54,05-09,Today’s Chinook activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2022-08-31,pre_run,55,Moderate,,73.7,ideal,7,55,50,52,57,17-21,Today’s Chinook activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 PM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
2017-09-01,pre_run,56,Moderate,,130,ideal,7,57,52,50,57,05-09,Today’s Chinook activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2014-09-02,pre_run,57,Moderate,,151,ideal,6,57,57,52,58,17-21,Today’s Chinook activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 PM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
2019-08-31,pre_run,58,Moderate,,224,ideal,3,55,57,58,58,13-17,Today’s Chinook activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 1–5 PM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 1–5 PM. If the sky changes from the forecast, favor the darkest practical window."
2019-08-25,pre_run,60,Active,,109,ideal,7,59,61,55,62,17-21,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 PM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
2014-08-27,pre_run,62,Active,,214,ideal,3,62,61,62,59,05-09,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2020-08-28,pre_run,66,Active,,208,ideal,4,67,66,64,63,05-09,Today’s Chinook activity outlook is active.,"Conditions favor a meaningful reaction opportunity. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early Chinook that may already have entered. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
2019-09-14,beginning,21,Reserved,,1270,blown_out,1,21,21,21,22,17-21,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 5–9 PM. If the sky changes from the forecast, favor the darkest practical window."
2021-09-07,beginning,22,Reserved,,1160,blown_out,1,22,22,21,22,05-09,Today’s Chinook activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Early lake-fresh Chinook can remain reactive in tolerable water, so warmth is penalized without automatically erasing response potential. Hydraulic-only read for the lower/middle mainstem. Temperature is unavailable and has zero influence; the gauge does not represent the harbor or upper corridor. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.","Start with 5–9 AM. If the sky changes from the forecast, favor the darkest practical window."
