pair_key,city_id,species_id,pass1_disposition,pass2_disposition,evidence_grade,audited_peak,weaker_or_equal_anchor,stronger_or_equal_anchor,finding
pentwater_mi/chinook_salmon,pentwater_mi,chinook_salmon,research_candidate,numeric_private,A,7.5,Kenosha 7.4,Waukegan 7.6,"Ten positive Pier/Dock catch years, including modern positives, establish recurring spring and staging opportunity. The measured record places Pentwater above Michigan City/Kenosha but below Grand Haven."
pentwater_mi/coho_salmon,pentwater_mi,coho_salmon,research_candidate,numeric_private,A,7.2,Manitowoc 7.2,Manitowoc 7.2,Nine positive catch years and five modern positive strata establish recurring spring and fall opportunity. Magnitude supports the Manitowoc-to-Whitehall range rather than the elite southern spring cohort.
pentwater_mi/steelhead,pentwater_mi,steelhead,research_candidate,numeric_private,A,8.3,Ludington 8.1,Michigan City 8.5,"Fourteen positive catch years across spring, summer, and fall establish a strong multi-window fishery between Ludington and Michigan City."
pentwater_mi/brown_trout,pentwater_mi,brown_trout,research_candidate,numeric_private,A,7.3,Racine 7.3,Racine 7.3,Twelve positive catch years with modern recurrence establish a strong cold-season and harbor fishery at the Racine/Kewaunee tier.
pentwater_mi/lake_trout,pentwater_mi,lake_trout,research_candidate,research_hold_unscored,C,,,,Only one positive catch year was resolved; stocking and one measured occurrence do not establish recurrence. No placeholder score is permitted.
pentwater_mi/walleye,pentwater_mi,walleye,research_candidate,numeric_private,B,4.4,South Haven 4.3,Frankfort–Elberta 4.5,Three positive years establish limited recurring opportunity. Low measured magnitude keeps the peak between South Haven and the Frankfort/Holland tier; county stocking does not raise it.
pentwater_mi/smallmouth_bass,pentwater_mi,smallmouth_bass,research_candidate,numeric_private,A,6.4,Whitehall 6.3,Chicago 6.5,Eight positive years and very strong modern matched-effort magnitude establish a strong channel fishery above Whitehall and below Muskegon.
pentwater_mi/freshwater_drum,pentwater_mi,freshwater_drum,research_candidate,numeric_private,B,5.4,Charlevoix 5.4,Charlevoix 5.4,Four positive years plus exact-channel reports establish recurring warm-season targeting. Episodic magnitude supports a middle placement below Chicago/Whitehall.
pentwater_mi/yellow_perch,pentwater_mi,yellow_perch,research_candidate,numeric_private,A,7.8,Alpena 7.6,Whitehall 8,Seven positive years and exceptionally high measured catch magnitude establish an excellent recurring fishery above the 7.6 cohort but below Whitehall.
pentwater_mi/lake_whitefish,pentwater_mi,lake_whitefish,research_candidate,research_hold_unscored,C,,,,One high 2012 catch stratum is exact but does not establish recurring annual opportunity. No placeholder score is permitted.
pentwater_mi/round_whitefish,pentwater_mi,round_whitefish,research_candidate,research_hold_unscored,C,,,,One historical positive year does not establish recurrence or a full-year shape. No placeholder score is permitted.
pentwater_mi/channel_catfish,pentwater_mi,channel_catfish,research_candidate,research_hold_unscored,C,,,,"Exact-channel reporting creates a lead, but the reviewed Pier/Dock catch series contains no positive catch row. No placeholder score is permitted."
pentwater_mi/largemouth_bass,pentwater_mi,largemouth_bass,research_candidate,research_hold_unscored,C,,,,Two low positive years are insufficient to establish recurring intentional targeting. No placeholder score is permitted.
pentwater_mi/atlantic_salmon,pentwater_mi,atlantic_salmon,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
pentwater_mi/northern_pike,pentwater_mi,northern_pike,research_candidate,research_hold_unscored,C,,,,The positive Pier/Dock record is confined to one year and regional stocking cannot fill the recurrence gap. No placeholder score is permitted.
pentwater_mi/burbot,pentwater_mi,burbot,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
pentwater_mi/white_perch,pentwater_mi,white_perch,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
pentwater_mi/white_bass,pentwater_mi,white_bass,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
rogers_city_mi/chinook_salmon,rogers_city_mi,chinook_salmon,research_candidate,numeric_private,B,6,Lexington 5.6,Muskegon 6.5,"Four exact-port catch years plus current agency harbor guidance establish a real fall fishery above Lexington but below Harrisville. Historical sampling limits confidence, not F."
rogers_city_mi/coho_salmon,rogers_city_mi,coho_salmon,hold,research_hold_unscored,C,,,,Current records remain primarily boat/offshore and no positive Pier/Dock catch row resolves the covered-structure fishery. No placeholder score is permitted.
rogers_city_mi/steelhead,rogers_city_mi,steelhead,research_candidate,numeric_private,B,6,Alpena 5.8,Chicago 6.5,"Four exact-port catch years, current agency targeting guidance, and exact/neighboring stocking pathways establish a recurring fishery above Harrisville and below Chicago."
rogers_city_mi/brown_trout,rogers_city_mi,brown_trout,research_candidate,numeric_private,A,5.8,Alpena 5.4,Michigan City 6,Seven positive catch years with strong measured magnitude establish recurring spring and fall harbor opportunity above Alpena but below Michigan City.
rogers_city_mi/lake_trout,rogers_city_mi,lake_trout,research_candidate,numeric_private,B,5.1,Tawas City 5.1,Tawas City 5.1,Four positive spring catch years plus current local guidance establish modest recurring nearshore opportunity between Alpena and Harbor Beach.
rogers_city_mi/walleye,rogers_city_mi,walleye,research_candidate,numeric_private,B,5.5,Charlevoix 5.5,Charlevoix 5.5,Three positive catch years with meaningful measured magnitude establish an ordinary harbor fishery below Lexington and above the Lake Michigan low tier.
rogers_city_mi/smallmouth_bass,rogers_city_mi,smallmouth_bass,research_candidate,numeric_private,B,6.5,Chicago 6.5,Chicago 6.5,Current DNR exact-harbor targeting guidance establishes an intentional local fishery. Missing port-specific quantitative rows keep Grade B while the peak is bracketed by Pentwater and Chicago/Muskegon.
rogers_city_mi/freshwater_drum,rogers_city_mi,freshwater_drum,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
rogers_city_mi/yellow_perch,rogers_city_mi,yellow_perch,research_candidate,research_hold_unscored,C,,,,"One positive year, despite high episodic magnitude, cannot establish recurring opportunity. No placeholder score is permitted."
rogers_city_mi/lake_whitefish,rogers_city_mi,lake_whitefish,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
rogers_city_mi/round_whitefish,rogers_city_mi,round_whitefish,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
rogers_city_mi/channel_catfish,rogers_city_mi,channel_catfish,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
rogers_city_mi/largemouth_bass,rogers_city_mi,largemouth_bass,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. All 5 target-county stocking records (1979-2020) are classified regional-only and do not establish the target-city structure fishery."
rogers_city_mi/atlantic_salmon,rogers_city_mi,atlantic_salmon,research_candidate,numeric_private,B,6.8,Port Sanilac 6.3,Alpena 7.2,"DNR directs anglers to cast from the breakwall, a 2008 Pier/Dock positive establishes exact-mode catch, and 2026 advisory evidence confirms current recurrence. The result sits above Port Sanilac and below Alpena."
rogers_city_mi/northern_pike,rogers_city_mi,northern_pike,research_candidate,research_hold_unscored,C,,,,Two positive years remain too sparse for a defensible recurring full-year calibration. No placeholder score is permitted.
rogers_city_mi/burbot,rogers_city_mi,burbot,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
rogers_city_mi/white_perch,rogers_city_mi,white_perch,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
rogers_city_mi/white_bass,rogers_city_mi,white_bass,exclude,exclude_unscored,D,,,,"The cell was reopened against exact-port, connected-water, stocking, weekly-report, management, historical, and seasonal evidence. No new covered-structure basis changed the Pass 1 exclusion. No credible recurring covered-structure lead was resolved after exact port, connected water, stocking, weekly-report, alternate-name, historical, and seasonal review."
tawas_city_mi/chinook_salmon,tawas_city_mi,chinook_salmon,hold,research_hold_unscored,C,,,,Historical stocking and mixed current occurrence do not resolve present recurring covered-structure targeting. No placeholder score is permitted.
tawas_city_mi/coho_salmon,tawas_city_mi,coho_salmon,research_candidate,numeric_private,B,5.8,Harbor Beach 5.8,Harbor Beach 5.8,"Current DNR exact-city/bay guidance supports intentional local shore opportunity. With no resolved dashboard allocation, the peak matches Harbor Beach and remains below Harrisville."
tawas_city_mi/steelhead,tawas_city_mi,steelhead,research_candidate,numeric_private,B,5.8,Alpena 5.8,Alpena 5.8,"DNR exact-city guidance establishes the local fishery, but reviewed weekly records are predominantly boat/offshore or incidental. The corrected peak matches the lower established Huron harbor tier rather than exceeding measured Rogers City evidence."
tawas_city_mi/brown_trout,tawas_city_mi,brown_trout,hold,research_hold_unscored,C,,,,Historical exact-area stocking ended and current exact-pier recurrence remains unresolved. No placeholder score is permitted.
