date,stage,daily_score,daily_label,temp_f,flow_cfs,flow_band,spread,05_09,09_13,13_17,17_21,best_block,headline,detail,tip
2025-10-02,pre_run,22,Reserved,,435,very_low,11,24,20,13,24,05-09,Today’s lake-run Brown Trout activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. Hydraulic-only read for the short lower corridor. Temperature has zero influence. Canal exclusion, power operations, and Lake Ontario backwater sharply limit interpretation. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.",Start with 5–9 AM. Keep this responsiveness outlook separate from abundance and migration stage.
2014-10-10,pre_run,29,Reserved,,842,very_low,5,28,26,26,31,17-21,Today’s lake-run Brown Trout activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. Hydraulic-only read for the short lower corridor. Temperature has zero influence. Canal exclusion, power operations, and Lake Ontario backwater sharply limit interpretation. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.",Start with 5–9 PM. Keep this responsiveness outlook separate from abundance and migration stage.
2025-10-14,pre_run,35,Reserved,,1030,very_low,4,37,34,33,34,05-09,Today’s lake-run Brown Trout activity outlook is reserved.,"Fish may respond selectively, with important environmental limitations. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. Hydraulic-only read for the short lower corridor. Temperature has zero influence. Canal exclusion, power operations, and Lake Ontario backwater sharply limit interpretation. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.",Start with 5–9 AM. Keep this responsiveness outlook separate from abundance and migration stage.
2012-10-07,pre_run,41,Moderate,,1070,very_low,2,41,40,40,42,17-21,Today’s lake-run Brown Trout activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 PM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. Hydraulic-only read for the short lower corridor. Temperature has zero influence. Canal exclusion, power operations, and Lake Ontario backwater sharply limit interpretation. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.",Start with 5–9 PM. Keep this responsiveness outlook separate from abundance and migration stage.
2024-10-10,pre_run,44,Moderate,,1110,low,6,45,45,44,39,05-09,Today’s lake-run Brown Trout activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: The river level or its recent change is less favorable. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. Hydraulic-only read for the short lower corridor. Temperature has zero influence. Canal exclusion, power operations, and Lake Ontario backwater sharply limit interpretation. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.",Start with 5–9 AM. Keep this responsiveness outlook separate from abundance and migration stage.
2014-10-14,pre_run,49,Moderate,,1560,low,10,51,44,41,51,05-09,Today’s lake-run Brown Trout activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: Clouds or lower light make this window more favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. Hydraulic-only read for the short lower corridor. Temperature has zero influence. Canal exclusion, power operations, and Lake Ontario backwater sharply limit interpretation. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.",Start with 5–9 AM. Keep this responsiveness outlook separate from abundance and migration stage.
2013-10-08,pre_run,53,Moderate,,7750,ideal,7,55,49,48,53,05-09,Today’s lake-run Brown Trout activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. Hydraulic-only read for the short lower corridor. Temperature has zero influence. Canal exclusion, power operations, and Lake Ontario backwater sharply limit interpretation. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.",Start with 5–9 AM. Keep this responsiveness outlook separate from abundance and migration stage.
2019-10-05,pre_run,55,Moderate,,2860,ideal,7,56,50,51,57,17-21,Today’s lake-run Brown Trout activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 PM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. Hydraulic-only read for the short lower corridor. Temperature has zero influence. Canal exclusion, power operations, and Lake Ontario backwater sharply limit interpretation. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.",Start with 5–9 PM. Keep this responsiveness outlook separate from abundance and migration stage.
2018-10-14,pre_run,56,Moderate,,8030,ideal,3,57,54,55,57,05-09,Today’s lake-run Brown Trout activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. Hydraulic-only read for the short lower corridor. Temperature has zero influence. Canal exclusion, power operations, and Lake Ontario backwater sharply limit interpretation. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.",Start with 5–9 AM. Keep this responsiveness outlook separate from abundance and migration stage.
2015-10-04,pre_run,57,Moderate,,2640,ideal,4,58,57,57,54,05-09,Today’s lake-run Brown Trout activity outlook is moderate.,"Some useful factors are present, but the response window is mixed. The strongest window is 5–9 AM: The river level and its recent change are favorable. The main limitation: Rain adds little extra cover. Dependable river presence has not begun. The score applies only to a sparse early lake-run Brown Trout that may already have entered. Hydraulic-only read for the short lower corridor. Temperature has zero influence. Canal exclusion, power operations, and Lake Ontario backwater sharply limit interpretation. This is a hydraulic-only read using the current river level and hourly weather. Measured water temperature is unavailable and has zero influence, so confidence remains Limited.",Start with 5–9 AM. Keep this responsiveness outlook separate from abundance and migration stage.
